collection_id,show_name,episodes_in_feed,episodes_usable,duration_missing_or_unparseable,duration_byte_estimated
73329719,KQED's Forum,3421,3421,0,0
1785081636,The Mary Trump Podcast,749,749,0,0
1432118523,The Damage Report with John Iadarola,1909,1909,0,0
1896897095,Wired In,18,18,0,0
791564318,Jacobin Radio,1876,1876,0,0
1843478428,Owen Report,174,174,0,0
1531192509,Bad Faith,100,100,0,0
1702202187,Perino on Politics,163,163,0,0
1568505052,MOATS with George Galloway,536,536,0,0
380996798,"The Bob Cesca Show | Politics Podcast, News & Commentary",1109,1109,0,0
1172546141,The President’s Inbox,100,100,0,0
1043245989,The Dig,547,543,4,197
1535255041,Unf*cking The Republic,429,429,0,0
387042247,Washington Today,52,52,0,0
682478916,War on the Rocks,337,337,0,0
983782306,Federalist Radio Hour,1000,1000,0,0
1111319839,The Conversation with Dasha Burns,549,549,0,0
1476110521,Useful Idiots with Katie Halper and Aaron Maté,413,413,0,0
1549624070,Amarica's Constitution,286,286,0,0
1289062927,ChinaTalk,545,545,0,0
1570380458,The Victor Davis Hanson Show,869,869,0,0
1356662668,Politically Georgia,1050,1050,0,0
1725442221,Hawk Podcasts,192,192,0,0
1721813926,Bad Hasbara - The World's Most Moral Podcast,202,202,0,0
1439837349,The Political Orphanage,640,640,0,0
1671451793,Maiden Mother Matriarch with Louise Perry,270,270,0,0
1502568407,SGT Report’s The Propaganda Antidote,100,100,0,0
1875402719,Make It Make Sense,42,42,0,0
1607829807,Mark Kaye Saves The Republic,490,490,0,0
545045867,Scott Horton Show - Just the Interviews,666,666,0,0
1317356120,The Peter McCormack Show,1071,1071,0,0
1570432345,Firing Line with Margaret Hoover,211,211,0,0
1818658022,"Life, Liberty & Levin Podcast",113,113,0,0
1634341981,Antiwar News With Dave DeCamp,998,998,0,0
474763182,The Globalist,100,100,0,0
1871628261,The Harry Sisson Show,683,683,0,0
1788891712,It's A Numbers Game with Ryan Girdusky,181,181,0,0
1654162813,The Kyle Seraphin Show,855,855,0,0
1480605295,POLITICO Energy,1558,1558,0,0
1763234285,Autocracy in America,29,29,0,0
1648125917,Stay Free with Russell Brand,641,640,1,0
1612691018,THE WEEKEND SHOW,233,233,0,0
1880163995,The Kyle Kulinski Show,837,837,0,0
1536984072,The Dishcast with Andrew Sullivan,274,274,0,37
1309354521,Majority 54,380,380,0,0
1362265400,Timcast News,2141,2141,0,0
1874174561,Hope For America with Heather Delaney Reese,164,164,0,0
124960485,"Best of the Left - Leftist Perspectives on Progressive Politics, News, Culture, Economics and Democracy",550,550,0,0
1587936366,The Inside Story Podcast,500,500,0,0
1594728054,The Great America Show,2123,2123,0,0
1767877239,No Gods No Mayors,98,98,0,0
1549502623,Cleanup on Aisle 45 with AG & Harry Dunn,287,287,0,0
956270301,Rational Security,570,570,0,0
1548086514,The Arena,879,879,0,0
1155629323,The Reason Roundtable,100,100,0,0
1868807558,Batya!,51,51,0,0
1592116227,The Breitbart News Daily Podcast,1025,1025,0,0
1809246826,The Keith Edwards Show,750,750,0,0
1060110806,The Nation Podcasts,1179,1179,0,0
702998658,Week In Review,203,203,0,0
1493858530,Hood Politics with Prop,356,356,0,0
1485186805,Timothy Gordon Rules for Retrogrades Podcast,764,764,0,0
1567204040,The Drill Down with Peter Schweizer,275,275,0,0
1869456664,What's The Plan? with Leah Greenberg and Ezra Levin,26,26,0,0
1599294971,Extremely American,27,27,0,0
1614844654,Week In Review,217,217,0,0
1751785203,Brad vs Everyone,501,501,0,0
1871930209,Essential Minnesota,30,30,0,0
1599891719,Seattle Nice,199,199,0,0
1368074498,The Lars Larson Show Pacific Northwest Podcast,50,50,0,0
1800671132,Destiny,511,511,0,0
1801103648,The Nerd Reich,20,20,0,0
1208232103,The Buck Sexton Show,2533,2533,0,0
1485021241,The Reason Interview With Nick Gillespie,100,100,0,0
1884144340,Get Angry,18,18,0,0
1606834013,The Josh Hammer Show,100,100,0,0
1714009198,Mea Culpa,273,273,0,0
1839861250,The Moment with Jorge Ramos and Paola Ramos,43,43,0,0
1659250199,"Mueller, She Wrote - When the Facts Were Fresh",51,51,0,0
1449848509,I Don't Speak German,238,238,0,0
1556687660,Candace Owens,574,574,0,0
1633301179,Countdown with Keith Olbermann,716,716,0,0
1482179882,The Mona Charen Show,287,287,0,0
1112258664,Russian Roulette,163,163,0,0
1871531782,Uncertain with DL Hughley,26,26,0,0
1721969693,Politix,134,134,0,0
1351411911,The TPM Show with Josh and Kate,473,473,0,0
