show,collection_id,pct_sentences_dropped,pct_tokens_dropped,flagged
Main Justice,1679657705,0.03698903828500459,0.03592352076361031,False
The Illegal News with Sarah Longwell,1725387804,0.031839622641509434,0.03433808523067819,False
The Intercept Briefing,1195206601,0.03550295857988166,0.03430986456632408,False
Federalist Radio Hour,983782306,0.02641909153218269,0.032649481019443496,False
Verdict with Ted Cruz,1495601614,0.02709732337085028,0.03193209377526273,False
Pod Save the World,1200016351,0.019036852814831563,0.028872484435144282,False
Mission Implausible,1728340033,0.025215252152521524,0.028771299937311222,False
Radio Atlantic,1258635512,0.02690402120059915,0.02619890676064834,False
The New Yorker Radio Hour,1050430296,0.023832134943246056,0.02574948055802909,False
American Prestige,1574741668,0.030903751168068348,0.025733902364187718,False
The President's Daily Brief,1617887885,0.02798708288482239,0.02550166275740982,False
Fox Across America w/ Jimmy Failla,1072469956,0.01975717439293598,0.025194344866476013,False
It's A Numbers Game with Ryan Girdusky,1788891712,0.025884665792922673,0.02363931762794476,False
On the Media,73330715,0.019157954224357163,0.021474870221323883,False
Mark Kaye Saves The Republic,1607829807,0.0183402308865171,0.02086817181142935,False
The Mary Trump Podcast,1785081636,0.021295307494189335,0.0199264146604638,False
The Smerconish Podcast,1573813504,0.014870836165873555,0.018509431511495332,False
Stay Free with Russell Brand,1648125917,0.012890702767270555,0.018243327080702726,False
Rational Security,956270301,0.01926252063841497,0.01742426951825757,False
Washington Today,387042247,0.01782242384964355,0.015436255603043887,False
The Michael Berry Show,1253076699,0.012736825346282439,0.015291145903778737,False
Useful Idiots with Katie Halper and Aaron Maté,1476110521,0.017167617376042124,0.014521671250665714,False
The Young Turks,597919007,0.01252884932410155,0.014063778285695008,False
The Graham Allen Show,1456850698,0.00955529719517512,0.012719464235762592,False
Political Gabfest,158004641,0.01311193508517384,0.012026886089901672,False
The Keith Edwards Show,1809246826,0.010301844030081385,0.011921617839495725,False
Politically Georgia,1356662668,0.01229827490261547,0.01169567489666313,False
Advisory Opinions,1490993194,0.011714770797962648,0.011629259892724586,False
Slate News,1093260018,0.01171571095144387,0.011512034458129691,False
Brian Kilmeade Show,219258773,0.008888888888888889,0.010672022581695799,False
Brad vs Everyone,1751785203,0.010585882238157958,0.010236316727466914,False
The Damage Report with John Iadarola,1432118523,0.009696186166774402,0.010157094827077722,False
The Harry Sisson Show,1871628261,0.008735315633202805,0.009939747738409027,False
Majority 54,1309354521,0.010682220328986173,0.009633079631943656,False
The Tony Kinnett Cast,1714879044,0.008875419417685897,0.009510778487975489,False
THE WEEKEND SHOW,1612691018,0.00993643152502623,0.009112753142937911,False
The Daily Punch,1549272440,0.009183304957952845,0.009080590238365494,False
Pod Save America,1192761536,0.006694336591243808,0.008760089534016142,False
