guest_key,display_name,n_candidates,reason
solomon|nancy|nancy,Nancy Solomon,80,"name too common in DIME donor pool (n=80 same-name individuals, no recipient/candidate match) -- not search-tractable"
chang|justin|justin,Justin Chang,30,"name too common in DIME donor pool (n=30 same-name individuals, no recipient/candidate match) -- not search-tractable"
gold|samuel|sam,Sam Gold,25,"name too common in DIME donor pool (n=25 same-name individuals, no recipient/candidate match) -- not search-tractable"
silverman|jennifer|jen,Jen Silverman,21,"name too common in DIME donor pool (n=21 same-name individuals, no recipient/candidate match) -- not search-tractable"
reed|erin|erin,Erin Reed,24,"name too common in DIME donor pool (n=24 same-name individuals, no recipient/candidate match) -- not search-tractable"
butler|judith|judith,Judith Butler,81,"name too common in DIME donor pool (n=81 same-name individuals, no recipient/candidate match) -- not search-tractable"
samuels|robert|robert,Robert Samuels,73,"name too common in DIME donor pool (n=73 same-name individuals, no recipient/candidate match) -- not search-tractable"
cooper|bradley|bradley,Bradley Cooper,37,"name too common in DIME donor pool (n=37 same-name individuals, no recipient/candidate match) -- not search-tractable"
halpern|susan|sue,Sue Halpern,25,"name too common in DIME donor pool (n=25 same-name individuals, no recipient/candidate match) -- not search-tractable"
hanks|thomas|tom,Tom Hanks,29,"name too common in DIME donor pool (n=29 same-name individuals, no recipient/candidate match) -- not search-tractable"
schulman|michael|michael,Michael Schulman,38,"name too common in DIME donor pool (n=38 same-name individuals, no recipient/candidate match) -- not search-tractable"
lewis|robin|robin coste,Robin Coste Lewis,119,"name too common in DIME donor pool (n=119 same-name individuals, no recipient/candidate match) -- not search-tractable"
rowe|jack|jack,Jack Rowe,25,"name too common in DIME donor pool (n=25 same-name individuals, no recipient/candidate match) -- not search-tractable"
smith|tracy|tracy k,Tracy K. Smith,411,"name too common in DIME donor pool (n=411 same-name individuals, no recipient/candidate match) -- not search-tractable"
knight|samuel|sam,Sam Knight,59,"name too common in DIME donor pool (n=59 same-name individuals, no recipient/candidate match) -- not search-tractable"
greer|andrew|andrew sean,Andrew Sean Greer,24,"name too common in DIME donor pool (n=24 same-name individuals, no recipient/candidate match) -- not search-tractable"
walter|barbara|barbara f,Barbara F. Walter,79,"name too common in DIME donor pool (n=79 same-name individuals, no recipient/candidate match) -- not search-tractable"
jenkins|barry|barry,Barry Jenkins,29,"name too common in DIME donor pool (n=29 same-name individuals, no recipient/candidate match) -- not search-tractable"
alexander|michelle|michelle,Michelle Alexander,95,"name too common in DIME donor pool (n=95 same-name individuals, no recipient/candidate match) -- not search-tractable"
smith|anna|anna deavere,Anna Deavere Smith,382,"name too common in DIME donor pool (n=382 same-name individuals, no recipient/candidate match) -- not search-tractable"
park|steven|steve,Steve Park,98,"name too common in DIME donor pool (n=98 same-name individuals, no recipient/candidate match) -- not search-tractable"
wilson|owen|owen,Owen Wilson,27,"name too common in DIME donor pool (n=27 same-name individuals, no recipient/candidate match) -- not search-tractable"
williams|aaron|aaron,Aaron Williams,172,"name too common in DIME donor pool (n=172 same-name individuals, no recipient/candidate match) -- not search-tractable"
chu|jonathan|jon m,Jon M. Chu,27,"name too common in DIME donor pool (n=27 same-name individuals, no recipient/candidate match) -- not search-tractable"
hopkins|anthony|anthony,Anthony Hopkins,28,"name too common in DIME donor pool (n=28 same-name individuals, no recipient/candidate match) -- not search-tractable"
evans|rodney|rodney,Rodney Evans,40,"name too common in DIME donor pool (n=40 same-name individuals, no recipient/candidate match) -- not search-tractable"
cortes|luis|luis,Luis Cortes,27,"name too common in DIME donor pool (n=27 same-name individuals, no recipient/candidate match) -- not search-tractable"
lane|anthony|anthony,Anthony Lane,41,"name too common in DIME donor pool (n=41 same-name individuals, no recipient/candidate match) -- not search-tractable"
butler|paul|paul,Paul Butler,195,"name too common in DIME donor pool (n=195 same-name individuals, no recipient/candidate match) -- not search-tractable"
roth|philip|philip,Philip Roth,27,"name too common in DIME donor pool (n=27 same-name individuals, no recipient/candidate match) -- not search-tractable"
anderson|carol|carol,Carol Anderson,711,"name too common in DIME donor pool (n=711 same-name individuals, no recipient/candidate match) -- not search-tractable"
katz|margaret|maggie robinson,Maggie Robinson Katz,34,"name too common in DIME donor pool (n=34 same-name individuals, no recipient/candidate match) -- not search-tractable"
robinson|terry|terry,Terry Robinson,142,"name too common in DIME donor pool (n=142 same-name individuals, no recipient/candidate match) -- not search-tractable"
lowe|nicholas|nick,Nick Lowe,22,"name too common in DIME donor pool (n=22 same-name individuals, no recipient/candidate match) -- not search-tractable"
schrader|paul|paul,Paul Schrader,25,"name too common in DIME donor pool (n=25 same-name individuals, no recipient/candidate match) -- not search-tractable"
sherman|wendy|wendy,Wendy Sherman,31,"name too common in DIME donor pool (n=31 same-name individuals, no recipient/candidate match) -- not search-tractable"
jordan|matthew|matt,Matt Jordan,128,"name too common in DIME donor pool (n=128 same-name individuals, no recipient/candidate match) -- not search-tractable"
steele|christopher|christopher,Christopher Steele,103,"name too common in DIME donor pool (n=103 same-name individuals, no recipient/candidate match) -- not search-tractable"
lawrence|jennifer|jennifer,Jennifer Lawrence,149,"name too common in DIME donor pool (n=149 same-name individuals, no recipient/candidate match) -- not search-tractable"
davidson|amelia|amy,Amy Davidson,68,"name too common in DIME donor pool (n=68 same-name individuals, no recipient/candidate match) -- not search-tractable"
schwartz|anthony|tony,Tony Schwartz,38,"name too common in DIME donor pool (n=38 same-name individuals, no recipient/candidate match) -- not search-tractable"
garza|alicia|alicia,Alicia Garza,26,"name too common in DIME donor pool (n=26 same-name individuals, no recipient/candidate match) -- not search-tractable"
david|larry|larry,Larry David,27,"name too common in DIME donor pool (n=27 same-name individuals, no recipient/candidate match) -- not search-tractable"
lopez|ashley|ashley,Ashley Lopez,35,"name too common in DIME donor pool (n=35 same-name individuals, no recipient/candidate match) -- not search-tractable"
fowler|stephen|stephen,Stephen Fowler,71,"name too common in DIME donor pool (n=71 same-name individuals, no recipient/candidate match) -- not search-tractable"
mcdaniel|eric|eric,Eric McDaniel,22,"name too common in DIME donor pool (n=22 same-name individuals, no recipient/candidate match) -- not search-tractable"
tobin|mary|mary,Mary Tobin,101,"name too common in DIME donor pool (n=101 same-name individuals, no recipient/candidate match) -- not search-tractable"
hinton|elizabeth|elizabeth,Elizabeth Hinton,25,"name too common in DIME donor pool (n=25 same-name individuals, no recipient/candidate match) -- not search-tractable"
rutherford|david|david,David Rutherford,52,"name too common in DIME donor pool (n=52 same-name individuals, no recipient/candidate match) -- not search-tractable"
hahn|christopher|chris,Chris Hahn,57,"name too common in DIME donor pool (n=57 same-name individuals, no recipient/candidate match) -- not search-tractable"
knowles|michael|michael,Michael Knowles,77,"name too common in DIME donor pool (n=77 same-name individuals, no recipient/candidate match) -- not search-tractable"
ford|martin|martin,Martin Ford,23,"name too common in DIME donor pool (n=23 same-name individuals, no recipient/candidate match) -- not search-tractable"
wilkins|elizabeth|elizabeth,Elizabeth Wilkins,47,"name too common in DIME donor pool (n=47 same-name individuals, no recipient/candidate match) -- not search-tractable"
ellis|justin|justin,Justin Ellis,31,"name too common in DIME donor pool (n=31 same-name individuals, no recipient/candidate match) -- not search-tractable"
cohen|josh|josh,Josh Cohen,66,"name too common in DIME donor pool (n=66 same-name individuals, no recipient/candidate match) -- not search-tractable"
wang|samuel|sam,Sam Wang,43,"name too common in DIME donor pool (n=43 same-name individuals, no recipient/candidate match) -- not search-tractable"
bresnahan|john|john,John Bresnahan,36,"name too common in DIME donor pool (n=36 same-name individuals, no recipient/candidate match) -- not search-tractable"
