show_id,show,nw,imper_syn_rate,imper_rx_rate,you_rx_rate,dir_z,dir_z_rate,side,avg_host_cfscore
1467993804,What the Hell Is Going On,707552,55.80122277704457,26.71601999590271,215.67925167271272,-0.094116884296563,-0.1522531003178929,0.4288256227758007,1.2265
1471411980,American Thought Leaders,326059,50.65735037234531,27.12144892893261,229.7814961233183,-0.000632394520758,-0.1384091629906111,0.4477611940298507,
1474001390,TRUE ANON TRUTH FEED,261649,42.11072373992051,23.038837988144916,210.24846852757412,-0.7609733445625708,-0.6372439881347123,-0.2687224669603524,-1.007
1476110521,Useful Idiots with Katie Halper and Aaron Maté,1517607,58.16178456051332,24.619361489542598,210.35891040223063,-0.1957689068274914,-0.24830368953588708,-0.3346938775510204,-1.0075
1480605295,POLITICO Energy,224621,47.452525341950334,15.005975831083175,146.47425966092692,-1.1806365280810711,-1.3588896255114065,-0.1492227979274611,
1482179882,The Mona Charen Show,1027761,43.79897910574857,19.866101900406008,192.64677383478772,-0.9067182021274052,-0.8809329995164342,-0.2145411203814064,1.432
1484862164,Politics War Room with James Carville & Al Hunt,1335398,67.7914670266966,32.66802557443905,268.5272122380859,0.6223014844889904,0.7247404395421563,-0.3435582822085889,-0.4995
1485021241,The Reason Interview With Nick Gillespie,377364,42.05158857148902,23.06225486436379,299.17457227715965,-0.0069899484432485,-0.05790801229338157,0.0178571428571428,
1485186805,Timothy Gordon Rules for Retrogrades Podcast,1495166,61.747844907813636,24.907866817695954,250.295145259329,0.1261923656784059,0.09529515356505162,0.6149312377210217,0.952
1485351658,Bannon`s War Room,768135,107.04087026041773,28.9675575450509,280.28984490564073,1.1650427443351925,1.3658090252822863,0.7160278745644599,0.348
1490993194,Advisory Opinions,1416854,55.746263195129345,21.927699926466232,232.60368784044218,-0.2728539355043055,-0.28665229199362546,0.0412147505422993,1.0775
1493858530,Hood Politics with Prop,934447,91.24045853112843,59.88434835224473,442.29165756965193,3.605264565204161,3.690919168096199,-0.3170289855072464,
1495251160,John Solomon Reports,1032989,83.87242665153215,26.958360860716613,233.53566883781974,0.2722361327503365,0.5147243156648524,0.7072625698324022,
1495601614,Verdict with Ted Cruz,898701,91.70388878183546,39.069688893122915,256.25342360463077,1.5411393306248833,1.429030734386707,0.7173678532901834,1.52
1506127536,Making the Argument with Nick Freitas,810838,61.51953621288621,38.62854599413785,291.19980826350076,1.1318771524130051,1.0553811497681023,0.6845878136200717,1.665
1507444393,X22 Report,386277,106.12493899463152,54.880429477794046,221.59590043923865,2.2878912116154737,2.284154139797471,0.8768472906403941,
1509826894,RealClearPolitics Podcast,541622,53.81303245754176,29.867432138759035,232.7593522512185,0.2029601809418261,0.08120142514509861,0.2469733656174334,0.1149999999999999
1510240831,The MeidasTouch Podcast,823164,98.58485305597783,25.767296077384064,260.45512440497504,0.9436751460786243,0.9116338662807705,-0.5768261964735516,-0.995
1515399733,No Lie with Brian Tyler Cohen,949234,60.534647116614764,27.112759181998776,202.25293627058326,-0.0861657794131067,-0.12875693164290547,-0.7346733668341708,-1.072
1517313007,The Hugh Hewitt Show: Highly Concentrated,175991,65.34299591058097,26.64152350045499,228.64566773744394,-0.1295877212310872,0.11140764811932204,0.5922330097087378,1.132
1529346075,Impolitic with John Heilemann,1406757,54.6007199787088,26.592987911641522,268.1360395568069,0.123043346849309,0.16017741400035682,-0.3071786310517529,-0.872
1531192509,Bad Faith,292650,46.478748181489095,24.588316451632732,228.363989044539,-0.2957963419052793,-0.35664397446205137,-0.5654761904761905,
1535255041,Unf*cking The Republic,990456,68.3741545695727,22.37154355653563,167.58665224545123,-0.4148027965825154,-0.4454355200279438,-0.5471956224350205,
1535384390,Ruthless Podcast,1587501,68.58548160175194,35.26680623051086,279.8042097166002,0.9288502530015212,0.9456340291900901,0.6209476309226932,0.015
1536169792,Talkin‘ Politics & Religion Without Killin‘ Each Other,1267365,51.95137998555203,26.608476509470968,282.04985100039227,0.2262586997123756,0.200794992263461,-0.1913183279742765,
1536984072,The Dishcast with Andrew Sullivan,1192915,44.85199512168545,28.020971723377773,245.06405931091712,-0.0480436857791768,-0.1044261091470645,0.0379537953795379,-0.977
1538788132,Tangle,750171,60.65709213429005,18.032860690675598,181.53323120390638,-1.012851422478337,-0.7232970996094196,-0.0770252324037184,
1548086514,The Arena,541521,71.65003757933673,22.806133095484753,211.79234046325072,-0.0552035890810196,-0.07254147355125272,0.4836601307189542,
1548554104,Volts,1092528,50.70838014998408,18.025173023361358,235.6539752368892,-0.4258045152204056,-0.5619263325349477,-0.4702797202797202,
1549272440,The Daily Punch,234212,104.00226619724009,29.622435352676945,187.36595038646757,0.6862808108202213,0.7355311135251849,-0.0422039859320046,
1549502623,Cleanup on Aisle 45 with AG & Harry Dunn,1071217,65.9540847464815,21.111944935622397,221.5924491146812,-0.1763585646278272,-0.20412244599400378,-0.3636363636363636,
1549624070,Amarica's Constitution,1438673,36.872470913335825,17.81198369176945,208.9648102343996,-0.944865876507985,-1.0119643950783053,-0.06875753920386,-0.686
1551206847,#SistersInLaw,1138348,65.11656194013398,23.896063526869767,212.97820635082869,-0.4642701626727759,-0.13466340624371045,-0.431701030927835,0.0056666666666666
1551582052,The Lincoln Project,977328,65.02139805972321,26.132143732770427,266.18508574173626,0.2618793005063222,0.323864594036441,-0.4709219858156028,
1567204040,The Drill Down with Peter Schweizer,223778,49.74859193717464,33.09169731535277,231.86397313576035,0.2697955300575683,0.16145020066488253,0.5135135135135135,0.849
1568505052,MOATS with George Galloway,1395715,50.6928862533199,20.448873523216413,179.00992535946514,-0.7699305447561199,-0.8079121579824872,-0.0901339829476248,
1570045623,Breaking Points with Krystal and Saagar,1552833,72.19997112001155,32.16698713320515,226.09357622923616,0.5469606271813514,0.5073750633716541,-0.1682758620689655,-0.9107
1570380458,The Victor Davis Hanson Show,893994,61.59585841603045,28.02533925410676,224.82377418252958,0.0431265995183389,0.08504944174938373,0.6651017214397497,1.373
1570432345,Firing Line with Margaret Hoover,764745,42.99363265476858,24.915130386132233,220.58910034941314,-0.4042036048743752,-0.45750004494526714,-0.0966887417218543,0.595
1573813504,The Smerconish Podcast,428416,88.96785283058306,32.55409561209038,255.60746520558666,1.027807382495968,1.0408887870526378,-0.0652557319223985,
1574741668,American Prestige,83408,56.138243311925336,16.864575151319134,217.16028277041076,-0.7394787723564004,-0.6373096445545922,-0.2592592592592592,-1.159
1576614213,American Conservative University,366410,61.21812685545419,25.24095487264298,196.85775867911997,-0.2372876462828309,-0.24601800348941075,0.5458515283842795,
1579061364,Head in the Office,1888992,61.04624456301934,21.008736128373464,196.03753800210563,-0.3893338056689823,-0.4699607167385251,-0.579155672823219,-0.997
158004641,Political Gabfest,1690102,59.76242905643741,18.695911527144094,228.4981729374596,-0.4810222712267788,-0.40078618654537806,-0.3762475049900199,-0.9198333333333334
1584730781,The Benny Show,1354884,88.02768346902666,26.43951281042659,240.19096252019432,0.6276454197936306,0.6113694050560806,0.8020434227330779,0.865
1585243541,Human Events Daily with Jack Posobiec,796934,70.52117992146587,32.088043306168274,257.598702458633,0.6207110995911442,0.6763937353947083,0.6853448275862069,
1586423406,The Focus Group Podcast,749620,54.97692255262674,30.684195838729217,215.4323758132405,-0.2350827116247202,0.03220178821052938,-0.1306620209059233,0.6625
1587936366,The Inside Story Podcast,158386,44.35107376283847,19.17884270825447,127.24909783733312,-1.177768395774463,-1.3313187392516646,-0.3074074074074074,
1592116227,The Breitbart News Daily Podcast,858749,61.86564791239704,23.349030875960015,215.94372094426637,-0.2185994755198466,-0.205518172939213,0.7072808320950966,
1594728054,The Great America Show,540708,64.83534921723398,28.724521805103663,207.50959307839332,0.0508226269795527,0.0699558926383031,0.8091397849462365,
1595408601,The PoliticsGirl Podcast,873633,71.50368959038286,26.302357201631605,242.48551225243222,0.2628330938321153,0.30245372567365414,-0.7583081570996979,-1.008
1599891719,Seattle Nice,616570,47.92995921508024,19.252809924168822,281.40463069683534,-0.1833491720706788,-0.2547289403654742,-0.2429378531073446,-1.034
1606834013,The Josh Hammer Show,138423,60.32564546321478,16.60014834175114,150.03708543778475,-1.0363906431953034,-1.0077098573790446,0.6018518518518519,1.2273
1607829807,Mark Kaye Saves The Republic,626137,94.20723398790263,37.47928693816309,249.37116867088707,1.286766229776201,1.3512983120083177,0.5956112852664577,0.976
1612691018,THE WEEKEND SHOW,1021433,51.61696269050893,24.937775823634507,231.49221608505783,-0.2160242106840009,-0.21995135461463813,-0.7583212735166426,-0.573
1614844654,Week In Review,765474,47.105712560134954,20.344357206822583,185.65039465189412,-0.825926415863635,-0.8387643331355698,0.1387024608501118,
1617887885,The President's Daily Brief,297774,88.80015638569584,23.970594361782926,169.71693548128658,0.0760126792706503,0.041504354107029684,0.1903914590747331,0.871
1623855270,The Foreign Affairs Interview,482821,34.475547208723036,27.683967938776398,175.89776188474607,-0.5961483851416616,-0.771122634687203,-0.068235294117647,-0.998
