topic,coherence,exclusivity,prop,top_words,frex_words,register,estimate,se,t,p,ci_low,ci_high,est_show,se_show,p_show,ci_low_show,ci_high_show,survives_bonferroni_clustered,se_inflation
28,-99.1197576873019,9.88608465948787,0.0076547118752615,south africa global economic world system economy population resources capital countries market,africa african mining lithium globalization congo capitalists capitalist imf industrial indigenous resource,False,-0.0030914325039983,0.0003547690852842,-8.71392867143782,3.0517495084874e-18,-0.0037867799111554,-0.0023960850968411,-0.0031574769112026,0.0014992744856806,0.0364391847334259,-0.006096054903136576,-0.00021889891926862425,False,4.226057308458978
29,-120.139279837173,9.92373265981205,0.0109835677395757,city york mayor council seattle mamdani adams public police cuomo office week,mayor yorkers sandeep seattle mayors cuomo mayor's city city's council mamdani harrell,False,-0.0026458526571428,0.0003955825858011,-6.68849628904721,2.28599484456831e-11,-0.0034211945253131,-0.0018705107889725,-0.0029332756498096,0.003063528867315,0.339468260312112,-0.008937792229747,0.0030712409301277997,False,7.744347140840397
30,-74.5197908615367,9.5979527072557,0.0130648873060963,movie film great movies episode story love yes watch she's hollywood funny,film movie movies films comedy hollywood documentary characters superman theater actress trek,False,-0.0009728336920239,0.0004426344310675,-2.19782652171386,0.0279674903583583,-0.0018403971769162,-0.0001052702071315,-0.0008525700378664,0.0014946071806327,0.569019471955637,-0.003782000111906492,0.002076860036173692,False,3.3766175329563963
31,-118.970216002746,9.90749989732374,0.0090786534113887,biden joe biden's hunter boring administration office pen wasn't auto knew story,hunter biden's joe biden pen armstrong getty boring auto tedious depressing jake,False,0.0044955696845639,0.0002794560712082,16.0868563890101,4.91125298997839e-58,0.0039478357849958,0.0050433035841321,0.0050124357434574,0.0007740839949945,7.0492420829104e-10,0.0034952311132681797,0.00652964037364662,True,2.7699666414396593
32,-107.08965170067,9.76111440058813,0.0076682525986828,music song puerto la love band rock moment feel thank songs singing,album song puerto songs music singing bunny artists band rican sing musicians,False,-0.002431880627177,0.0003443383636317,-7.0624736713273,1.6637372043718098e-12,-0.0031067838198952,-0.0017569774344588,-0.0027088274911096,0.0016655140256543,0.105419036022275,-0.0059732349813920275,0.0005555799991728279,False,4.836852937582385
33,-63.8376593122291,9.93157279653456,0.0197492511916039,iran nuclear iranian deal regime iranians iran's war missiles strait program states,iranians iranian iran's iran uranium ayatollah nuclear irgc ballistic tehran missiles enriched,False,0.0016011321031454,0.0006056327088107,2.64373452730039,0.0082030654685758,0.0004140919938763,0.0027881722124145,0.0022252546041588,0.001841370651803,0.228276497631523,-0.0013838318733750796,0.00583434108169268,False,3.040408196279487
34,-146.46647391909,9.82172990876344,0.0050069993795788,chicken day body summer sugar molly great stick today rick america fresh,vitamins groons chicken broccoli sugar packet barbecue molly corn ingredients wraps fiber,False,-0.0003174570891368,0.0002732422224693,-1.16181564572275,0.245317666112705,-0.0008530118451767,0.0002180976669029,-0.0006279700192792,0.0017927313571963,0.726488501563388,-0.004141723479383947,0.0028857834408255478,False,6.560960238850792
35,-85.7197061478864,9.943161969502,0.014144078944934,state texas republican senate race georgia governor primary seat carolina district florida,paxton cornyn tallarico ken georgia texas iowa crockett ossoff kemp seat jasmine,False,0.00190189198891,0.0004536823072334,4.19212289874762,2.76981895802157e-05,0.0010126746667324,0.0027911093110876,0.0020598975449144,0.0018431045556843,0.265055160531404,-0.0015525873842268281,0.005672382474055628,False,4.062544486082642
36,-57.1756830225083,9.9218271409312,0.0270383177113261,kids family life children school parents young went i've day love tell,parents kids mom dad kid mother child family daughter father wife children,False,0.0054706644613888,0.000436403528577,12.5357933727686,5.605211591827229e-36,0.0046153135453778,0.0063260153773998,0.0069909174781414,0.001527215531708,8.21097867552891e-06,0.00399757503599372,0.00998425992028908,True,3.4995489992664774
37,-114.248859830722,9.87650415869138,0.0077939754952833,venezuela cuba drug maduro mexico government military drugs boat united regime venezuelan,maduro cuba venezuela cartels colombia cuban venezuelan boats caribbean cartel castro narco,False,-0.0005813132806682,0.0004397890270819,-1.3218003289563,0.186242618425205,-0.0014432997737488,0.0002806732124123,-0.0009943843534425,0.000737098757297,0.17883062164888,-0.00243909791774462,0.0004503292108596201,False,1.6760280768890883
