topic,coherence,exclusivity,prop,top_words,frex_words,register,estimate,se,t,p,ci_low,ci_high,est_show,se_show,p_show
45,-103.532242930245,9.97479961833319,0.0129823608838699,women men woman trans sex young gay abortion gender women's male female,trans transgender female gender male women masculinity gay feminist women's men abortion,FALSE,0.00170684394173606,0.000415744965556524,4.10550718143093,4.04272442625185e-05,0.000891983809245277,0.00252170407422685,0.00154035949311539,0.00181487501653237,0.397029896031081
46,-79.535200174103,9.91236588310576,0.0157623870330911,harris kamala she's campaign vance vice debate donald tim election convention pennsylvania,kamala harris walz convention harris's vance vice walls tim vp pennsylvania ticket,FALSE,0.00150724629304191,0.000490730979255707,3.0714308995286,0.00213186178908255,0.00054541357370072,0.00246907901238309,0.00214598892120567,0.00131943733589278,0.105414532181848
47,-83.8798224325926,9.70251791249152,0.00963701634421827,cia conspiracy believe deep world state government theories remember america intelligence control,cia facetune conspiracy theories lighting effortless jfk conspiracies fremont spy spies qanon,FALSE,0.00669850227018075,0.000415677345935556,16.1146676278559,3.14270300190739e-58,0.00588377467214706,0.00751322986821444,0.00609016162902993,0.00263462442319115,0.0218088671270854
48,-107.855134158716,9.68299630771055,0.0113860338292567,case evidence story death south trial carolina tyler found we've told week,tyler jen dylan robinson baron blake sheriff micah candace tpusa murdoch sheriff's,FALSE,0.00807588994262559,0.000634378907169486,12.7303884970879,4.7735496390908e-37,0.0068325072845734,0.00931927260067778,0.00656141115416224,0.00332557580987942,0.0498577275931786
49,-66.4032633586221,9.95579525799715,0.0205874983018096,media news times story social post york information press reporting read journalists,journalism media journalists outlets journalist post mainstream editorial coverage substack editor newspaper,FALSE,-0.000734607828346831,0.000321418118972061,-2.28552089936998,0.0222877919167173,-0.00136458734153207,-0.000104628315161592,-0.000915588589670782,0.000880522694205122,0.299664697259158
50,-102.713090196333,9.9545414596798,0.0136601567058181,health medical covid care vaccine cancer doctor dr vaccines rfk doctors kennedy,vaccines vaccine measles patients fda cdc autism doctors cancer medicine doctor disease,FALSE,0.00277120387700014,0.000454152585204148,6.10192249759945,1.05812608535949e-09,0.00188106481000001,0.00366134294400027,0.00300368445964306,0.00126814477083791,0.018800640316804
51,-97.2131681174972,9.80680532226501,0.0108088832366468,game team sports football games baseball play world year cup great playing,baseball basketball football nba knicks sport olympics soccer espn games championship sports,FALSE,0.000918968214165049,0.000372258622001732,2.46862842081002,0.0135675711475449,0.000189341315041654,0.00164859511328844,0.00132558447423056,0.0017100195805666,0.439135845817976
52,-78.4706604326478,9.93182266149983,0.0109804986395191,jobs work working workers job labor american class america business americans union,workers jobs wage worker labor wages farmers h- unions workforce employers businesses,FALSE,0.000139132542300866,0.000308524874055783,0.450960535116239,0.652020569981531,-0.000465576210848469,0.000743841295450202,6.25721812082816e-05,0.000614386624449956,0.918980762321499
53,-94.7351745682964,9.88620934848847,0.0151957870803799,immigration border illegal immigrants administration ice states united el illegally deportation legal,deported deportation salvador undocumented immigrants immigration deport illegally deportations asylum migrants detention,FALSE,0.00170744468871002,0.000461122668884938,3.70279928514222,0.000213535511697235,0.000803644257695544,0.0026112451197245,0.00205108091072042,0.000922438170885083,0.0272870665182199
54,-101.491352613495,9.94436918261069,0.0102557913795638,housing home building live afford build cost affordable rent care costs affordability,housing rent affordable afford affordability grocery homes mortgage apartment property houses groceries,FALSE,-0.000444096364432812,0.000341190347011032,-1.30160881843018,0.193058046873093,-0.00111282944457444,0.000224636715708811,-0.000196066870198005,0.000928580074184632,0.83298544967259
