show_id,removed_words,total_words,removed_share
1265845136,13596,252015,0.053949169692280224
1515399733,14775,275904,0.053551235212247736
983782306,13101,245296,0.05340894266518818
1570380458,12565,238004,0.0527932303658762
1579061364,17693,335263,0.05277349424183402
1502568407,13545,258427,0.05241325403305382
1484862164,13551,264577,0.05121760394894492
1447684472,15391,302373,0.05090070872730039
474763182,12651,250053,0.05059327422586412
1462195742,13232,261598,0.05058142646350507
1876034889,12902,258198,0.049969403326129556
1612691018,12498,253419,0.04931753341304322
73330715,11973,244707,0.04892790153121897
1584730781,12311,253697,0.04852639171925565
1820648828,12883,267393,0.04818001967141997
1155629323,12479,259866,0.04802090308081858
1696974077,12935,270960,0.04773767345733688
1364113251,12831,269866,0.04754581903611422
1692806415,12252,268111,0.04569749096456319
387042247,10821,237399,0.04558148939127798
1679657705,12154,269416,0.04511239124625115
1536169792,11200,248652,0.04504287116130174
1490993194,7581,170849,0.04437251608145204
124960485,8480,191746,0.044225172884962395
1886801652,10868,246847,0.04402727195388236
1788891712,12241,281482,0.04348768304900491
956270301,12083,278304,0.04341655168448891
1722246285,9903,234820,0.04217272804701473
1843478428,8856,221109,0.04005264371870887
1587936366,8912,226081,0.03941950009067546
1317356120,10470,269750,0.03881371640407785
1535384390,10299,265923,0.03872925621326474
1169056746,10369,267851,0.03871182112443112
1654162813,12103,315845,0.038319428833763394
1702202187,9933,260833,0.038081837804265564
1871628261,11088,291888,0.03798717316230883
219258773,3465,91746,0.03776731410633706
1634341981,9074,242761,0.03737832683173986
1818418128,9182,246253,0.03728685538856379
1536984072,8852,238326,0.037142401584384414
1043245989,8628,232978,0.03703353964752037
1529346075,9857,270267,0.03647134130322977
1869456664,10374,285083,0.036389402384568705
1317481380,9092,251765,0.036113041924016445
1660317917,9241,263484,0.035072338358306386
1728152109,7893,225535,0.0349967854213315
1774505095,9658,276092,0.03498109325876882
1138657182,9583,278877,0.03436281945086902
1576614213,7826,232014,0.03373072314601705
1714879044,8417,252454,0.033340727419648726
1743030473,8428,254979,0.03305370246177136
1568505052,6655,206672,0.03220078191530541
1548554104,7676,255202,0.03007813418390138
1362265400,8467,283697,0.029845222191281544
1506127536,8544,300814,0.028402933374111577
73331636,6681,237672,0.02811016863576694
1798460240,7572,271906,0.027847859186630675
1432118523,6969,253776,0.027461225647815397
1535255041,7012,257256,0.027256895854712814
1721813926,6638,247149,0.02685829196152928
682478916,7735,290199,0.0266541235497021
1805186512,6601,248832,0.026527938528806583
78911087,6838,260963,0.02620294831068006
1172546141,6413,251634,0.025485427247510274
1111319839,6612,259715,0.025458675856227016
929121341,7104,279873,0.025382941548488063
1112258664,6333,260266,0.02433279798360139
791564318,5316,239156,0.02222816906119855
1351411911,5373,242358,0.02216968286584309
1294461271,5479,248776,0.02202382866514455
1567204040,6089,276476,0.022023611452711988
1599891719,5975,274100,0.021798613644655237
1549624070,5198,242708,0.02141668177398355
1868807558,5779,270259,0.021383191679093017
1721969693,5048,237834,0.021224887947055508
1060110806,5385,254305,0.02117536029570791
1809246826,5023,241105,0.020833246925613322
1439837349,5266,258841,0.020344535834740246
