show_id,nw,pol_rate,share_political
1195206601,1374130,151.87063814922897,0.2906754644903629
1200016351,2306529,147.76315407263468,0.2900101122997499
1208232103,1552582,160.01087221158045,0.3248969030484353
1218054701,2345646,46.75044742471796,0.06288451840645487
1253076699,288975,71.07881304611125,0.129695885509839
1258635512,789364,148.06857166022266,0.2923292797006548
1263295815,1148416,53.05568713776193,0.06497378431170968
1265845136,1224867,156.75987678662253,0.3085702843412095
1289062927,1505868,63.491620779510555,0.09121459433509362
1291144720,1997665,115.10939021307375,0.21644753162986852
1294461271,744368,143.3968144788599,0.269597543235817
1303660358,179355,186.94767360820717,0.3772169167803547
1309354521,1396288,144.97009212999038,0.29142908054169636
1314170606,289202,248.2693757304583,0.510539629005059
1314368109,195233,225.6278395558128,0.4679245283018868
1317356120,2452707,44.11452325940277,0.07266028757099728
1317481380,1627677,191.84395921303798,0.3809488288825899
1351411911,1466448,168.72060925447067,0.358655577467204
1356662668,1009255,278.4231933455866,0.5554478245061205
1362265400,1661217,193.2137703864095,0.36952078128548715
1364113251,1011859,200.6603686877322,0.422826220637068
1367201919,364325,264.54401976257464,0.5196013289036545
1368074498,187419,155.90735197605366,0.2839344262295082
1378389941,808961,101.4016744935788,0.1830667069121642
1386375601,799627,216.22581528637727,0.4255970606246173
1408796715,435450,224.13595131473187,0.4522527628223293
1432118523,1531405,151.84748645851357,0.3051883674818242
1439837349,1694770,89.35725791700348,0.1623529411764706
1441649707,669956,95.85704135793993,0.17742232027946314
1447684472,589854,172.7207071580425,0.3569145535904539
1449848509,1725279,50.4556074698643,0.07650701017721159
1452065072,978655,95.98888270125836,0.18117765475591344
1456045551,1246354,219.95356054539883,0.4530912659470069
1456850698,1467738,88.08111529441904,0.16435103763629968
1462195742,1169772,159.35584028340566,0.3228829993535876
1462703434,1356054,120.88014194125012,0.2229316307528598
1467297559,1475496,247.92341016173543,0.5465827803154356
1467993804,717547,189.93877752955555,0.37525844245348033
1471411980,326310,57.767153933376235,0.08634686346863468
1474001390,262166,73.35047260132893,0.12427184466019417
1476110521,1544313,149.2378811808228,0.2898733181210166
1480605295,225910,166.83635075915186,0.3150543197102949
1482179882,1047513,204.97120322134427,0.43000936329588013
1484862164,1364331,194.06580954328533,0.4053978853644964
1485021241,378107,100.92381257157366,0.1912532637075718
1485186805,1504344,30.657881442010602,0.04429386001156929
1485351658,826787,153.69133767221788,0.2977133462860559
1490993194,1434715,140.06266052839763,0.2653428057861851
1493858530,961854,57.441150112179194,0.09341173326206068
1494037881,8908,288.50471486304446,0.47435897435897434
1495251160,1127665,188.61984720639552,0.3802694480660582
1495601614,923734,237.35187835459126,0.46903010033444814
1502568407,167823,111.12898708758632,0.21138211382113822
1506127536,817789,95.80710916874646,0.1750943396226415
1507444393,409800,210.76134699853588,0.4326723882805564
1509826894,542062,231.33885053739237,0.47304032623470776
1510240831,851855,204.7296781729285,0.4121562952243126
1515399733,970023,261.9628606744376,0.537892095357591
1517313007,182422,137.70268936860685,0.27348066298342544
1529346075,1427820,145.7536664285414,0.30092145677928916
1531192509,292822,111.1255301855735,0.2076109936575053
1535255041,1000378,97.64309091163541,0.17739193783389995
1535384390,1596402,149.46110065008688,0.30663269368580304
1536169792,1272151,112.5338108447818,0.21444050433412135
1536984072,1193035,78.37993017807524,0.1448283016910468
1538788132,821833,211.0891142117681,0.39306945048571845
1548086514,541521,13.22201724402193,0.01751959428307976
1548554104,1092916,65.27491591302534,0.11409544950055493
1549272440,247110,309.1740520416009,0.6095051445369917
1549502623,1084694,189.61107925368813,0.37798020692757534
1549624070,1441726,196.66011433517883,0.37822062870007506
1551206847,1183877,178.3124429311491,0.3708434498047081
1551582052,1003362,162.13490245793642,0.3315587470595518
1556687660,2850,14.035087719298245,0.0
1567204040,225132,197.1732139367127,0.41483073616335303
1568505052,1397632,139.12818252587232,0.2633464394932285
1570045623,1578948,154.79927141362475,0.3095145023844891
1570380458,901684,131.13241446005475,0.2582716738796594
1570432345,764997,181.37326028729524,0.35713139740093053
1573813504,449713,145.40384645318235,0.29555555555555557
1574741668,86572,114.81772397541931,0.20641562064156208
1576614213,368845,112.51338638181349,0.20890069744271006
1579061364,1893974,180.2295068464509,0.35209812782440286
1584730781,1377862,217.8955512235623,0.4307803598878741
1585243541,827411,124.64180437533463,0.23107866507747318
1586423406,777599,242.7343656563344,0.5147803364363874
1587492577,223496,148.81698106453806,0.2919667590027701
1587936366,158508,181.06341635753398,0.366144668158091
1592116227,861706,156.60793820630238,0.30954803080947535
1594728054,548312,260.2897620332949,0.5130278526504941
1595408601,909044,177.4501564280717,0.3466522678185745
1599294971,5472,85.89181286549707,0.11363636363636363
1599891719,618611,81.27886507029457,0.13458466453674123
1606834013,141565,162.9640094656165,0.30927835051546393
1607829807,638486,241.91603261465403,0.4747715534366309
1612691018,1039387,181.44348543901356,0.3670049563370309
1614844654,768272,103.30976529145927,0.1819625277865989
1617887885,312049,146.80386734134703,0.25902726602800297
1623855270,482951,148.3794422208464,0.27593003202759303
1633301179,730610,151.62672287540548,0.2920427950518221
1634341981,435801,229.2789598922444,0.4589266155531216
1635418897,642837,115.02138178107359,0.23759580475998388
1635446643,447182,205.84460018515952,0.4165029469548134
1636762428,1347591,47.403106728970435,0.07917367732286408
1640311112,882659,178.74399966464966,0.36781103286384975
1645614328,844090,204.26731746614698,0.43592778928677123
1647025876,97606,192.30375181853574,0.4012658227848101
1647085571,716082,183.24717001684164,0.3984640114306126
1648125917,819823,88.14097677181539,0.15569039514577476
1654162813,1389630,120.47811287896778,0.23730370098264303
1659250199,9149,173.7894851896382,0.3561643835616438
1660317917,490394,298.00527738920135,0.5940372670807453
1669610956,967573,209.57591830280506,0.4069049061175045
1671451793,687413,34.2006915784252,0.04665279223031564
1674095262,396267,181.8218524378765,0.367115737905695
1679657705,652426,188.49647316323995,0.37204579025110784
1681586867,284133,155.20900423393272,0.31041936878512755
1692806415,606599,264.7712904241517,0.5391462674489177
1695205478,317724,155.9529654668832,0.30408241129339947
1696250206,1624,129.3103448275862,0.2
1696974077,591742,252.47489615406712,0.515820149875104
1702202187,361212,273.57895086541976,0.5711781206171108
1709994511,162113,152.6095994769081,0.2903739061256961
1714009198,792715,201.95152103845643,0.42445482866043616
1714879044,709379,181.15844985543694,0.35560158812359743
1715894000,112059,350.35115430264415,0.6705508474576272
1721813926,826247,72.56909858674221,0.10827067669172932
1721969693,363149,292.35933459819523,0.6155143338954469
1722246285,379113,207.64257622397545,0.42598684210526316
1725387804,525339,175.8102863103634,0.36975586631903296
1725442221,306546,223.13127556712533,0.435515484123873
1728152109,242879,295.2910708624459,0.591948310139165
