show_id,nw,elite,people,media,elite_rate,people_rate,media_rate,populist_rate
1681586867,284133,39,427,34,1.372596636082398,15.02817342582523,1.1966227083795264,16.40077006190763
1692806415,606599,79,508,35,1.3023430635395046,8.374560459216056,0.5769874332137046,9.67690352275556
1695205478,317724,124,134,28,3.902758368898793,4.217496947035792,0.8812680187835983,8.120255315934585
1696250206,1624,0,1,0,0.0,6.157635467980295,0.0,6.157635467980295
1696974077,591742,78,362,36,1.3181420281136036,6.117530950988776,0.6083732437447401,7.43567297910238
1702202187,361212,48,150,20,1.3288595063286934,4.152685957277167,0.5536914609702889,5.48154546360586
1709994511,162113,35,73,16,2.1589878664881903,4.503031835818225,0.9869658818231727,6.662019702306416
1714009198,792715,150,485,107,1.892231129725059,6.118213986111024,1.3497915392038753,8.010445115836083
1714879044,709379,89,373,99,1.2546184761601344,5.258120130423934,1.3955868442680146,6.512738606584068
1715894000,112059,24,62,2,2.141728910663133,5.532799685879759,0.17847740922192773,7.674528596542892
1721813926,826247,106,319,212,1.2829093479310667,3.860830962169908,2.5658186958621334,5.143740310100975
1721969693,363149,73,176,17,2.0101941627265942,4.846495515614802,0.468127407758248,6.856689678341397
1722246285,379113,77,224,48,2.0310567034103286,5.908528591739139,1.2661132696583868,7.939585295149468
1725387804,525339,55,235,20,1.0469430215537014,4.473302001183997,0.3807065532922551,5.520245022737699
1725442221,306546,50,115,25,1.6310765757830799,3.7514761243010835,0.8155382878915399,5.3825527000841635
1728152109,242879,136,133,21,5.599496045355918,5.475977750237773,0.8646280658270167,11.075473795593691
1728340033,471523,282,225,54,5.980620245459924,4.771771472441429,1.145225153385943,10.752391717901354
1730358737,99556,40,91,14,4.0178392060749735,9.140584193820564,1.4062437221262405,13.158423399895536
1743030473,419375,138,227,37,3.2906110283159467,5.412816691505216,0.8822652757078986,8.703427719821162
1750591415,545362,128,211,103,2.347064885342213,3.8689897719313047,1.8886537749238121,6.216054657273517
1751785203,356471,68,142,110,1.9075885555907772,3.9834937484395643,3.085805016396846,5.891082304030341
1763234285,4787,2,2,1,4.1779820346772505,4.1779820346772505,2.0889910173386252,8.355964069354501
1767877239,307587,43,77,2,1.397978458127294,2.503356773855852,0.06502225386638577,3.901335231983146
1774505095,385554,72,180,24,1.867442692852363,4.6686067321309075,0.6224808976174543,6.53604942498327
1785081636,114217,17,115,22,1.4883948974320809,10.068553717922901,1.9261581025591639,11.556948615354981
1788738240,654,0,0,0,0.0,0.0,0.0,0.0
1788891712,323729,46,119,18,1.420941590033639,3.6759141133478925,0.5560206221870763,5.096855703381531
1790957194,853677,238,537,238,2.787939700847042,6.290435375440595,2.787939700847042,9.078375076287637
1794450472,117047,14,61,7,1.1961007116799234,5.211581672319666,0.5980503558399617,6.40768238399959
1795032531,332923,51,272,67,1.5318857513599242,8.170057340586261,2.0124773596297043,9.701943091946186
1798460240,99461,24,48,5,2.413006102894602,4.826012205789204,0.5027096047697087,7.239018308683805
1800671132,738276,108,310,211,1.4628675454707996,4.198971658295814,2.858009741614247,5.661839203766613
1801103648,6614,0,4,0,0.0,6.047777441790142,0.0,6.047777441790142
1805186512,537824,221,431,105,4.109150949009342,8.013774022728626,1.9523115368596418,12.122924971737968
1809246826,75112,12,53,12,1.5976142294174032,7.056129513260198,1.5976142294174032,8.653743742677602
1810218232,437008,153,240,16,3.5010800717607005,5.491890308644235,0.36612602057628235,8.992970380404936
1818418128,203155,65,155,40,3.1995274544067334,7.629642391277596,1.9689399719426053,10.82916984568433
1818658022,177646,54,171,38,3.0397532170721546,9.625885187395156,2.1390855971989238,12.66563840446731
1820648828,548931,86,425,94,1.5666814226196009,7.742320983875933,1.7124192293749123,9.309002406495534
1822142909,274811,73,93,113,2.6563711059600963,3.3841440117025883,4.111916917445081,6.040515117662684
1839861250,232197,35,117,26,1.5073407494498208,5.038824791017972,1.1197388424484382,6.5461655404677925
1843478428,626322,230,454,380,3.672232493829053,7.24866761825387,6.067166728934957,10.920900112082922
1849994842,5196,0,4,0,0.0,7.698229407236335,0.0,7.698229407236335
1865794721,561781,85,152,57,1.5130451190054488,2.705680683397979,1.0146302562742422,4.218725802403428
1868807558,170807,68,177,49,3.9811014771057396,10.36257296246641,2.8687348879144294,14.343674439572151
1869456664,167390,38,75,11,2.2701475595913734,4.480554393930342,0.6571479777764503,6.750701953521716
1871531782,4542,0,3,0,0.0,6.605019815059445,0.0,6.605019815059445
1871628261,76171,6,44,12,0.7877013561591681,5.7764766118339,1.5754027123183363,6.564177967993068
1871930209,3287,0,3,0,0.0,9.126863401277761,0.0,9.126863401277761
1873028393,115435,36,164,8,3.118638194655001,14.207129553428336,0.6930307099233335,17.325767748083337
1874174561,57254,11,87,19,1.9212631431865022,15.195444859747791,3.3185454291403222,17.116708002934292
1875402719,451,0,0,0,0.0,0.0,0.0,0.0
1876034889,137955,37,101,16,2.6820339965930917,7.321227936646008,1.159798485013229,10.0032619332391
1877144831,167936,46,92,17,2.7391387195121952,5.4782774390243905,1.0122903963414633,8.217416158536587
1880163995,1403967,427,890,398,3.04138202678553,6.33918033685977,2.8348244652474026,9.3805623636453
1884144340,5858,1,6,1,1.707067258449983,10.242403550699898,1.707067258449983,11.949470809149881
1886801652,78344,12,56,12,1.5317063208414172,7.147962830593281,1.5317063208414172,8.679669151434698
1889550138,1858,0,0,0,0.0,0.0,0.0,0.0
1889705401,114440,51,56,13,4.456483746941629,4.893393918210417,1.1359664452988465,9.349877665152047
1896576050,24661,5,16,2,2.0274928024005514,6.487976967681765,0.8109971209602206,8.515469770082316
1896897095,6479,0,2,2,0.0,3.086896125945362,3.086896125945362,3.086896125945362
219258773,1749777,247,1018,137,1.4116084506768576,5.81788422181798,0.7829569139381761,7.229492672494838
268213039,258587,35,85,11,1.3535096505238082,3.28709486555782,0.4253887473074826,4.640604516081628
354628391,2090808,1607,1177,768,7.6860237764538875,5.629402604160688,3.6732210705143657,13.315426380614575
380996798,1571285,151,637,200,0.9609968910795941,4.054006752435109,1.2728435643438334,5.015003643514703
387042247,89294,16,65,8,1.7918337178309853,7.279324478688378,0.8959168589154927,9.071158196519363
