show_id,llm_density,n_labelled,words_labelled
1476110521,0.8531106489905554,1160.0,138492.0
1480605295,0.8966855423118045,1111.0,126265.0
1482179882,0.8692132536373834,974.0,119454.0
1484862164,0.8749094627412551,1120.0,140826.0
1485021241,0.7001137368886642,320.0,39565.0
1485186805,0.4522145194067711,1120.0,138766.0
1485351658,0.8478995018202721,680.0,83504.0
1490993194,0.8232660731517961,1120.0,137823.0
1493858530,0.5408965386797806,1040.0,132175.0
1494037881,0.8629431162407255,42.0,4852.0
1495251160,0.830278379780837,1080.0,131044.0
1495601614,0.866729513368862,1080.0,131537.0
1502568407,0.7051711182457818,120.0,14639.0
1506127536,0.6975844229907532,400.0,49098.0
1507444393,0.854926913155632,240.0,29075.0
1509826894,0.9415952292210212,440.0,53660.0
1510240831,0.8393067967356366,960.0,116041.0
1515399733,0.9668078314871292,1040.0,126566.0
1517313007,0.8461092128167107,120.0,15511.0
1529346075,0.7158769533700762,840.0,103603.0
1531192509,0.850966492189754,200.0,24263.0
1535255041,0.7583454217767814,960.0,113745.0
1535384390,0.8334392093126861,960.0,121211.0
1536169792,0.6446131628507968,960.0,118409.0
1536984072,0.6355652107759021,960.0,118301.0
1538788132,0.7792375753683685,960.0,112116.0
1548086514,0.10733714604547356,1400.0,172056.0
1548554104,0.6051425551637803,960.0,115429.0
1549272440,0.9438514227922585,920.0,108765.0
1549502623,0.9087985995123302,920.0,111961.0
1549624070,0.9047527700894284,920.0,109473.0
1551206847,0.8403472913718708,920.0,114486.0
1551582052,0.7679122807017544,920.0,114000.0
1556687660,0.4342615438843849,23.0,2837.0
1567204040,0.945099484156227,320.0,37996.0
1568505052,0.9363980979930613,880.0,105783.0
1570045623,0.8271505001163061,880.0,107475.0
1570380458,0.8422812420892751,760.0,94808.0
1570432345,0.8573823949011543,880.0,107946.0
1573813504,0.6863160747645459,843.0,103311.0
1574741668,0.9072038238306589,120.0,14645.0
1576614213,0.63938271888871,360.0,43481.0
1579061364,0.9135033795451182,840.0,101345.0
158004641,0.7118779389577378,1400.0,170341.0
1584730781,0.935116736181025,840.0,104295.0
1585243541,0.8298175958374185,840.0,103013.0
1586423406,0.9036496170610978,640.0,81214.0
1587492577,0.7616594178655068,120.0,14945.0
1587936366,0.9666422734479815,280.0,32796.0
1592116227,0.8456809160457227,800.0,100519.0
1594728054,0.9648265018200616,776.0,92854.0
1595408601,0.8339000409668169,800.0,97640.0
1599294971,0.7542574257425743,40.0,5050.0
1599891719,0.8937291785162915,800.0,98456.0
1606834013,0.9103547459252157,120.0,14602.0
