show_id,nw,plural,you_all,you_declar,you_deontic,you_question,you_named,you_know,plural_rate,you_all_rate,you_declar_rate,you_deontic_rate,you_question_rate,you_named_rate,you_know_rate,q_share,decl_share,show,dir_z,side,avg_host_cfscore
1873028393,18093,17,350,221,27,19,22,88,9.395898966451114,193.44497872105234,122.14668656386448,14.92289835848118,10.501298844857127,12.159398662466147,48.63759464986459,0.054285714285714284,0.6314285714285715,Politics Chat,-0.6774911592369838,-0.6576576576576577,-1.058
1535384390,19167,44,494,304,33,69,24,97,22.95612250221735,257.73464809307666,158.60593728804716,17.217091876663016,35.999373923931756,12.521521364845828,50.6078155162519,0.1396761133603239,0.6153846153846154,Ruthless Podcast,0.9288502530015212,0.6209476309226932,0.015
1647025876,18716,57,530,344,28,111,36,39,30.45522547552896,283.18016670228684,183.7999572558239,14.960461637101945,59.30754434708271,19.2348792477025,20.837785851677708,0.20943396226415095,0.6490566037735849,Wendy Bell Radio Podcast,1.1266031831774397,0.6226415094339622,-0.979
1057255460,18008,24,324,176,15,40,28,80,13.327410039982231,179.9200355397601,97.73434029320302,8.329631274988895,22.21235006663705,15.548645046645936,44.4247001332741,0.12345679012345678,0.5432098765432098,The NPR Politics Podcast,-0.408640193603148,-0.112781954887218,
1671451793,17992,17,424,268,24,50,20,86,9.448643841707426,235.66029346376166,148.95509115162295,13.339261894175188,27.79012894619831,11.116051578479324,47.79902178746109,0.1179245283018868,0.6320754716981132,Maiden Mother Matriarch with Louise Perry,-0.1814943053320016,0.1164658634538152,
1880163995,18992,45,382,256,29,41,40,45,23.694187026116257,201.13732097725358,134.79359730412804,15.269587194608256,21.588037068239256,21.061499578770007,23.694187026116257,0.10732984293193717,0.6701570680628273,The Kyle Kulinski Show,1.0805971116671151,-0.5907643312101911,-0.943
75462585,18862,17,491,315,19,93,36,47,9.01283002862899,260.3117378856961,167.00243876577244,10.073162973173577,49.3054819213233,19.085993001802564,24.917824196797792,0.1894093686354379,0.6415478615071283,NBC Nightly News with Tom Llamas,-0.1600018410542404,-0.2698795180722891,
1356662668,18055,25,386,213,32,42,44,87,13.846579894765993,213.79119357518692,117.97286070340627,17.72362226530047,23.262254223206867,24.369980614788147,48.186098033785655,0.10880829015544041,0.5518134715025906,Politically Georgia,0.0165638431557745,-0.0496845425867507,-0.947
1549624070,17810,21,344,234,33,23,45,42,11.791128579449747,193.149915777653,131.38686131386862,18.528916339135318,12.91409320606401,25.266704098820888,23.582257158899495,0.06686046511627906,0.6802325581395349,Amarica's Constitution,-0.944865876507985,-0.06875753920386,-0.686
1462703434,17871,29,360,159,16,28,52,121,16.227407531755357,201.44367970454928,88.97095853617593,8.953052431313301,15.667841754798276,29.097420401768225,67.70745901180683,0.07777777777777778,0.44166666666666665,Know Your Enemy,-1.092870941547457,-0.3552361396303901,-1.0765
1291144720,18413,29,456,249,28,51,37,119,15.749742030087438,247.65111605930593,135.23054363764732,15.206647477325802,27.697822190843425,20.094498452180527,64.62825177863466,0.1118421052631579,0.5460526315789473,The Remnant with Jonah Goldberg,-0.3370795493469372,0.12961210974456,
1536984072,18584,8,432,279,30,30,25,98,4.304778303917348,232.45802841153682,150.12914334911753,16.142918639690055,16.142918639690055,13.452432199741713,52.733534222987515,0.06944444444444445,0.6458333333333334,The Dishcast with Andrew Sullivan,-0.0480436857791768,0.0379537953795379,-0.977
702998658,18955,37,455,246,20,58,35,116,19.519915589554206,240.04220522289634,129.78106040622527,10.551305724083356,30.59878659984173,18.46478501714587,61.19757319968346,0.12747252747252746,0.5406593406593406,Week In Review,-0.2606018787157911,-0.1789264413518886,
1169056746,17488,28,250,128,10,32,37,53,16.010978956999086,142.9551692589204,73.19304666056725,5.718206770356817,18.298261665141812,21.15736505032022,30.306495882891127,0.128,0.512,The Playbook Podcast,-1.188440289601037,-0.0680885972108285,-1.088
1715894000,17721,7,294,178,7,48,31,37,3.9501156819592578,165.90485864228881,100.44579876982111,3.9501156819592578,27.086507533434908,17.49336944867671,20.879182890356073,0.16326530612244897,0.6054421768707483,Trump's Terms,-0.3103890336788915,-0.1608391608391608,
1788891712,18209,22,462,293,25,44,58,67,12.08193750343237,253.72068757207975,160.909440386622,13.7294744357186,24.16387500686474,31.852380690867154,36.79499148772585,0.09523809523809523,0.6341991341991342,It's A Numbers Game with Ryan Girdusky,0.288644089776836,0.2699115044247787,1.2223333333333333
1574741668,18222,17,431,203,28,29,53,146,9.329382065634947,236.52727472286247,111.4037976072879,15.36604104928109,15.914828229612555,29.085720557567775,80.12292832839425,0.06728538283062645,0.4709976798143852,American Prestige,-0.7394787723564004,-0.2592592592592592,-1.159
1138657182,18607,49,545,324,38,78,28,115,26.334175310367065,292.9005213091847,174.12801633793734,20.422421669264256,41.91970763691084,15.048100177352609,61.80469715698393,0.14311926605504588,0.5944954128440367,Liberty Lockdown,0.5125151785204033,0.413151364764268,
1147092464,18540,28,446,272,29,49,35,90,15.102481121898597,240.5609492988134,146.70981661272924,15.64185544768069,26.429341963322546,18.878101402373247,48.543689320388346,0.10986547085201794,0.6098654708520179,Opening Arguments,0.088258136517577,-0.3185929648241206,-1.015
73329719,18250,25,468,277,26,58,26,107,13.698630136986301,256.43835616438355,151.7808219178082,14.246575342465754,31.78082191780822,14.246575342465754,58.630136986301366,0.12393162393162394,0.5918803418803419,KQED's Forum,0.1727007250326179,-0.3333333333333333,-1.056
73330715,17887,3,272,173,16,34,24,41,1.677195728741544,152.06574607256667,96.71828702409572,8.94504388662157,19.008218259070834,13.417565829932352,22.92167495946777,0.125,0.6360294117647058,On the Media,-1.196119767160561,-0.2858627858627858,-1.032
