show_id,nw,imp_other,imp_all,you_deontic,you_all,imp_attention,you_other,you_know,imp_action,imp_epistemic,you_addressive,imp_other_rate,imp_all_rate,you_deontic_rate,you_all_rate,imp_attention_rate,you_other_rate,you_know_rate,imp_action_rate,imp_epistemic_rate,you_addressive_rate
1057255460,73776,166,445,71,1381,69.0,1019,277,189,21.0,14.0,22.50054218173932,60.31771849924095,9.623725872912601,187.18824549989156,9.35263500325309,138.12079809152027,37.54608544784212,25.618087182823682,2.8464541314248537,1.897636087616569
1060110806,71787,120,294,85,1362,17.0,778,495,138,19.0,4.0,16.716118517280286,40.9544903673367,11.840583949740203,189.72794517113127,2.3681167899480404,108.37616838703386,68.9539888837812,19.223536294872332,2.646718765236045,0.5572039505760096
1072469956,77815,179,576,130,2388,105.0,1734,427,225,67.0,97.0,23.003277003148494,74.02171817772923,16.70629056094583,306.8817066118358,13.49354237614856,222.83621409753906,54.87373899633747,28.914733663175483,8.610165135256699,12.465462957013429
1093260018,73675,233,539,146,2107,44.0,1654,286,234,28.0,21.0,31.625381744146587,73.15914489311164,19.81676280963692,285.9857482185273,5.972175093315236,224.49949100780455,38.81913810654903,31.76111299626739,3.8004750593824226,2.8503562945368173
1111319839,74577,157,414,108,1703,53.0,1152,417,188,16.0,26.0,21.052066991163496,55.5130938493101,14.481676656341767,228.3545865347225,7.106748729501052,154.47121766764553,55.9153626453196,25.208844549928262,2.145433578717299,3.4863295654156103
1112258664,70130,93,251,85,1066,17.0,729,246,124,17.0,6.0,13.261086553543418,35.790674461713955,12.12034792528162,152.0034222158848,2.424069585056324,103.94980750035648,35.07771281905033,17.68144873805789,2.424069585056324,0.8555539711963497
1138657182,73568,166,445,189,2102,52.0,1517,368,206,21.0,28.0,22.564158329708565,60.488255763375385,25.690517616354935,285.72205306655064,7.068290561113527,206.2037842540235,50.021748586341886,28.001304915180512,2.8545019573727703,3.806002609830361
1147092464,74024,154,446,141,1824,56.0,1308,328,202,34.0,47.0,20.804063546957742,60.250729493137364,19.047876364422347,246.40657084188913,7.565114017075543,176.6994488274073,44.309953528585325,27.28844699016535,4.593104938938723,6.349292121474116
1155629323,73108,127,336,160,1509,38.0,968,363,157,14.0,18.0,17.371559884007223,45.95940252776714,21.885429775127207,206.40695956666852,5.197789571592713,132.4068501395196,49.652568802319855,21.47507796684357,1.9149751053236308,2.462110849701811
1169056746,70390,175,352,69,915,28.0,606,232,140,9.0,8.0,24.861486006535017,50.00710328171615,9.80252876829095,129.9900554055974,3.977837761045603,86.09177439977269,32.95922716294928,19.889188805228017,1.2785907089075152,1.136525074584458
1172546141,70734,119,291,93,926,19.0,671,158,136,17.0,4.0,16.823592614584218,41.14004580541182,13.147849690389346,130.91299799247886,2.686119829219329,94.8624423897984,22.33720700087652,19.226962988096247,2.403370373512031,0.5654989114145955
1192761536,74299,136,430,117,1557,65.0,1137,284,186,43.0,19.0,18.304418632821438,57.87426479495013,15.747183676765502,209.55867508311013,8.748435375980835,153.03032342292627,38.22393302736241,25.033984306652847,5.787426479495013,2.5572349560559364
1195206601,71389,170,338,88,1352,17.0,957,301,135,16.0,6.0,23.81319250864979,47.34622981131547,12.326829063301068,189.38491924526187,2.3813192508649794,134.05426606339913,42.16335850060934,18.910476403927774,2.2412416478729216,0.8404656179523456
1200016351,73506,156,391,83,1608,64.0,1006,507,145,26.0,12.0,21.222757325932577,53.192936631023315,11.291595243925665,218.75765243653578,8.706772236280033,136.85957608902675,68.97396130928088,19.726280847821947,3.5371262209887626,1.6325197943025058
1208232103,75009,169,544,148,1809,83.0,1257,359,237,55.0,45.0,22.530629657774398,72.52463037768801,19.730965617459237,241.17105947286325,11.065338826007547,167.57989041315042,47.86092335586396,31.5962084549854,7.332453438920663,5.999280086389634
1218054701,70542,139,314,104,1565,31.0,986,463,121,23.0,12.0,19.704573162087833,44.512489013637264,14.742989991777947,221.85364747242778,4.394545093703043,139.77488588358707,65.63465736724221,17.152901817357034,3.260468940489354,1.7011142298205324
