show_id,nw,horse,strat,horse_rate,strat_rate,game_rate
1822142909,274811,436,267,15.86544934518633,9.71576829166227,25.5812176368486
1839861250,232197,369,102,15.89167818705668,4.392821612682335,20.284499799739017
1843478428,626322,1376,623,21.969530050038163,9.946960189806521,31.916490239844684
1849994842,5196,3,1,5.773672055427252,1.9245573518090837,7.698229407236335
1865794721,561781,773,318,13.75981031754367,5.660568798161561,19.42037911570523
1868807558,170807,535,216,31.32190132722898,12.645851750806465,43.96775307803544
1869456664,167390,934,609,55.797837385745865,36.38210167871438,92.17993906446024
1871531782,4542,4,2,8.806693086745927,4.4033465433729635,13.21003963011889
1871628261,76171,113,73,14.835042207664333,9.583699833269879,24.418742040934212
1871930209,3287,13,1,39.54974140553696,3.04228780042592,42.59202920596288
1873028393,115435,205,65,17.75891194178542,5.630874518127085,23.389786459912507
1874174561,57254,137,76,23.928459146959163,13.274181716561289,37.20264086352045
1875402719,451,0,0,0.0,0.0,0.0
1876034889,137955,296,196,21.456271972744734,14.207531441412055,35.66380341415679
1877144831,167936,304,74,18.102134146341463,4.406440548780488,22.50857469512195
1880163995,1403967,3544,1404,25.24275855486632,10.000235048259682,35.242993603126
1884144340,5858,5,1,8.535336292249916,1.707067258449983,10.2424035506999
1886801652,78344,94,35,11.998366179924435,4.4674767691208,16.465842949045236
1889550138,1858,4,0,21.52852529601722,0.0,21.52852529601722
1889705401,114440,648,268,56.623558196434814,23.41838518000699,80.04194337644181
1896576050,24661,34,16,13.78695105632375,6.487976967681765,20.274928024005515
1896897095,6479,21,15,32.4124093224263,23.151720944590217,55.564130267016516
219258773,1749777,4451,1421,25.437527182035193,8.121034851869695,33.55856203390489
268213039,258587,393,182,15.19797979016733,7.038250182723803,22.236229972891135
354628391,2090808,3279,1195,15.682932148719539,5.715493723000869,21.39842587172041
380996798,1571285,3178,1335,20.225484237423508,8.496230791995087,28.721715029418597
387042247,89294,258,145,28.89331870002464,16.238493067843304,45.131811767867944
402050558,836599,2386,953,28.52023490346032,11.391359540233733,39.91159444369406
402306412,126124,429,247,34.014144809869656,19.583901557197677,53.59804636706733
474763182,161983,269,113,16.606680948000715,6.976040695628553,23.58272164362927
506779862,1463339,2530,1291,17.28922689821019,8.822289298651919,26.111516196862112
545045867,738087,1052,615,14.25306230837286,8.332351064305428,22.58541337267829
597919007,1792986,3975,2464,22.169721347517495,13.742438591266188,35.91215993878368
682478916,995576,1399,2082,14.052166785860647,20.91251697509783,34.96468376095848
702998658,757203,1185,740,15.649700278525046,9.772808612749817,25.422508891274862
716825890,802788,1138,541,14.175598040827715,6.739014534347798,20.914612575175514
73329719,1053177,1919,607,18.221058758404332,5.763513635409813,23.984572393814148
73330715,943961,1613,1097,17.0875703551312,11.621242826769327,28.708813181900524
73331636,243208,355,143,14.596559323706458,5.879740798000066,20.476300121706522
75462585,446061,1029,255,23.068593757356055,5.716706907799606,28.78530066515566
78911087,1396649,3492,1579,25.002702898151217,11.30563226694753,36.30833516509875
791564318,1782202,3351,2528,18.802582423316775,14.18469960195309,32.98728202526986
91959525,241330,602,237,24.94509592673932,9.820577632287739,34.76567355902706
925428680,1841512,4910,1917,26.662872682882327,10.409924018958334,37.07279670184066
929121341,2389428,3637,894,15.221216123691528,3.7414812247952227,18.96269734848675
956270301,1902380,2300,2170,12.09011869342613,11.406764158580305,23.496882852006436
969924303,1208382,2582,863,21.367415270998737,7.141781324117704,28.509196595116443
983782306,762476,1160,487,15.213593608192257,6.387086282060025,21.60067989025228
