show_id,nw,imper_syn,imper_rx,you_rx,lean,solo,n_hosts,ep_len,words,avg_host_cfscore,show,side,inten,dir_z
1573813504,428416,6835.898285113607,2575.54953231459,20119.7668397934,L,solo,1.0,31.0,449713,,The Smerconish Podcast,-0.0652557319223985,0.2275132275132275,1.0278073824959681
1574741668,83408,3874.067823412687,1431.410177309406,17241.702463633286,L,multi,2.0,44.0,86572,-1.159,American Prestige,-0.2592592592592592,0.2777777777777778,-0.7394787723564004
1576614213,366410,4880.711496336136,2025.184155163554,15592.04388249738,R,,0.0,46.0,368845,,American Conservative University,0.5458515283842795,0.6681222707423581,-0.23728764628283094
1579061364,1888992,4978.997770273197,1711.7817697177509,15860.522202238077,L,solo,1.0,150.0,1893974,-0.997,Head in the Office,-0.579155672823219,0.7031662269129287,-0.38933380566898235
158004641,1690102,4450.130417958789,1550.348251940629,17588.099110074923,L,multi,3.0,94.0,1798789,-0.9198333333333334,Political Gabfest,-0.3762475049900199,0.4261477045908183,-0.4810222712267788
1584730781,1354884,6806.25404734689,2133.405066529475,18884.796620210163,R,solo,1.0,100.0,1377862,0.865,The Benny Show,0.8020434227330779,0.8454661558109834,0.6276454197936306
1585243541,796934,5116.0329199133375,2638.2699136610045,20181.48202765462,R,solo,1.0,65.0,827411,,Human Events Daily with Jack Posobiec,0.6853448275862069,0.7255747126436781,0.6207110995911442
1586423406,749620,3775.563208553305,2384.595527790951,16301.75983715358,L,solo,1.0,79.5,777599,0.6625,The Focus Group Podcast,-0.1306620209059233,0.4024390243902439,-0.23508271162472028
1587936366,158386,3903.135954227656,1601.5385384453896,10901.908989661852,L,solo,1.0,31.0,158508,,The Inside Story Podcast,-0.3074074074074074,0.3444444444444444,-1.177768395774463
1592116227,858749,4900.701677135473,1853.974664342208,17001.70224694411,R,solo,1.0,64.0,861706,,The Breitbart News Daily Podcast,0.7072808320950966,0.7607726597325408,-0.2185994755198466
1594728054,540708,5010.632068930642,2304.908016797324,16438.181058961694,R,solo,1.0,42.0,548312,,The Great America Show,0.8091397849462365,0.8440860215053764,0.050822626979552754
1595408601,873633,5397.8404766921685,2156.43239689197,18784.343689949623,L,solo,1.0,76.0,909044,-1.008,The PoliticsGirl Podcast,-0.7583081570996979,0.8096676737160121,0.26283309383211534
1599891719,616570,3883.348836829449,1549.6488112652478,22695.484056117784,L,multi,3.0,48.0,618611,-1.034,Seattle Nice,-0.2429378531073446,0.423728813559322,-0.1833491720706788
1606834013,138423,4693.4181111398575,1347.0236503799777,12008.18815091324,R,solo,1.0,64.5,141565,1.2273,The Josh Hammer Show,0.6018518518518519,0.6944444444444444,-1.0363906431953034
1607829807,626137,7307.792304700938,2948.449753037961,18921.37611135573,R,solo,1.0,109.0,638486,0.976,Mark Kaye Saves The Republic,0.5956112852664577,0.6896551724137931,1.286766229776201
1612691018,1021433,3934.0112996569615,2054.731081693591,18463.705989404865,L,multi,3.0,93.0,1039387,-0.573,THE WEEKEND SHOW,-0.7583212735166426,0.7930535455861071,-0.2160242106840009
1614844654,765474,3814.27689239192,1629.8869066750026,14977.9758698424,R,solo,1.0,58.0,768272,,Week In Review,0.1387024608501118,0.2863534675615212,-0.825926415863635
1617887885,297774,6941.766678914191,2007.0308009474095,13106.816910840696,R,solo,1.0,27.5,312049,0.871,The President's Daily Brief,0.1903914590747331,0.2046263345195729,0.0760126792706503
1623855270,482821,3017.045963581721,2344.180744042589,14756.091875331602,L,solo,1.0,70.0,482951,-0.998,The Foreign Affairs Interview,-0.068235294117647,0.1341176470588235,-0.5961483851416616
1633301179,723535,6745.044341392467,1605.2635027334666,13348.671933359456,L,solo,1.0,71.0,730610,-1.014,Countdown with Keith Olbermann,-0.5526992287917738,0.6915167095115681,-0.21283327277520295
1634341981,429092,2419.957337065656,797.2778771970571,7037.064990131526,L,solo,1.0,39.0,435801,-0.616,Antiwar News With Dave DeCamp,-0.2840059790732436,0.3707025411061285,-2.4237210235989726
1635418897,626556,5758.333476727845,2704.2018432055074,26447.46437421605,L,solo,1.0,49.0,642837,,The Chris Cuomo Project,-0.1701680672268907,0.523109243697479,1.3810247663469541
1635446643,446295,4025.223135135787,2261.240392174357,19150.955046767325,L,solo,1.0,31.0,447182,-0.868,The Coffee Klatch with Robert Reich,-0.7146853146853147,0.7314685314685314,0.0009192721303042939
1636762428,1345884,3966.5150534395607,2288.1498482701973,23294.71564392514,R,solo,1.0,141.5,1347591,1.2865,Dad Saves America,0.4397394136807817,0.5765472312703583,0.36570389049958907
1640311112,882262,6470.177082287512,1690.8891729335014,25145.081536690766,L,multi,4.0,77.5,882659,-0.0776666666666666,The Necessary Conversation,-0.0522648083623693,0.6097560975609756,0.8030632628107922
1645614328,806866,5136.281319215642,2272.5580502289745,18800.537650556184,L,solo,1.0,77.0,844090,,Fast Politics with Molly Jong-Fast,-0.5651438240270727,0.6192893401015228,0.2700264691845386
1647025876,97467,5981.087089268081,2789.051158762474,22250.49368163492,R,solo,1.0,44.0,97606,-0.979,Wendy Bell Radio Podcast,0.6226415094339622,0.7358490566037735,1.1266031831774397
1647085571,693232,4023.2754900042487,1981.172054748731,17610.912503265095,L,multi,3.0,72.0,716082,,The Next Level,-0.3086003372681282,0.4671163575042159,-0.3144971158871005
1648125917,808027,7467.587293389595,3046.8417564006463,23399.92161723664,R,solo,1.0,85.0,819823,,Stay Free with Russell Brand,0.2906178489702517,0.551487414187643,1.7843481287102423
1654162813,1358579,5494.319725790263,2184.6140427895134,21809.002841549023,R,solo,1.0,117.0,1389630,,The Kyle Seraphin Show,0.5103734439834025,0.7095435684647303,0.57127359511251
1660317917,487530,4674.23094601994,2029.7126201412896,21582.289612439014,L,multi,2.0,50.0,490394,-0.926,Defending Democracy with Marc Elias,-0.6918032786885245,0.740983606557377,0.23593606048384955
1669610956,951951,4357.506029768893,1826.088184810737,13674.777969976923,R,solo,1.0,109.0,967573,-1.107,System Update with Glenn Greenwald,0.0056179775280898,0.5786516853932584,-0.6709390583398717
1671451793,676946,3556.322620007737,1820.8985823719015,21709.172821174237,R,solo,1.0,74.5,687413,,Maiden Mother Matriarch with Louise Perry,0.1164658634538152,0.5100401606425703,-0.18149430533200162
1674095262,374550,5687.121160420232,1421.3963548999093,10866.87438106362,R,solo,1.0,43.0,396267,,The Wright Report,0.5264367816091954,0.5448275862068965,-0.8269261440281755
1679657705,645656,4637.687031839388,1518.1081630119363,15100.559557435552,L,multi,2.0,74.5,652426,-0.8458333333333333,Main Justice,-0.1584905660377358,0.2113207547169811,-0.670243389619301
1681586867,273041,5733.974799236184,2374.3941247280604,19045.380786367197,L,solo,1.0,16.5,284133,,The Warning with Steve Schmidt,-0.5888888888888889,0.7888888888888889,0.514290855519746
1692806415,595580,4981.33079305849,2023.940045224248,16765.051188940794,L,solo,1.0,65.0,606599,-0.8715,The Briefing with Jen Psaki,-0.5996168582375478,0.6340996168582376,-0.10885382268022438
1695205478,315984,4046.056404267936,1723.3265800483496,17540.16122902449,R,solo,1.0,39.0,317724,,What Really Matters with Walter Russell Mead,0.0993520518358531,0.2116630669546436,-0.4804261689101558
1696974077,584025,4283.08091285781,2226.3655290591446,16730.9317890157,L,solo,1.0,66.0,591742,-1.096,The Source with Kaitlan Collins,-0.08008658008658,0.3051948051948052,-0.16557243355531323
1702202187,358350,5189.483841213359,2936.576365759274,18405.02216533999,R,solo,1.0,41.0,361212,1.3355,Perino on Politics,0.320754716981132,0.3542976939203354,0.6761884774200994
1709994511,150093,8272.086431019283,2937.736003416538,25610.532022106727,R,solo,1.0,69.5,162113,1.659,UNGOVERNED,0.6,0.68,2.119657251044268
1714009198,739286,5520.746195664787,2662.71701061816,21457.06553271432,L,solo,1.0,94.0,792715,,Mea Culpa,-0.4384920634920635,0.5813492063492064,0.8547058904776904
1714879044,706503,4872.774972965278,1463.9100135647566,16514.73873113971,R,solo,1.0,81.0,709379,,The Tony Kinnett Cast,0.6289156626506024,0.744578313253012,-0.5193182368212107
1715894000,110190,5305.969065548613,1964.5322830833331,13924.226663220272,L,solo,1.0,10.0,112059,,Trump's Terms,-0.1608391608391608,0.1794871794871795,-0.3103890336788915
1721813926,817276,4768.181344281992,2259.9645213563,24129.316396288035,L,multi,2.0,122.0,826247,-1.147,Bad Hasbara - The World's Most Moral Podcast,-0.4788359788359788,0.5476190476190477,0.6317561423257826
1721969693,363032,3217.095483777077,1439.6193407746102,17824.331706682016,L,multi,2.0,48.0,363149,-0.1139999999999999,Politix,-0.3380614657210402,0.4278959810874704,-0.8561419147464485
1722246285,370133,5215.974144160119,2537.209009054403,19521.804941570503,L,multi,2.0,47.0,379113,-1.015,The Breakdown,-0.5975,0.7225,0.5242872603915597
1725387804,505790,4346.875446385348,1943.1460587457973,19431.53243880201,L,solo,1.0,69.0,525339,0.6625,The Illegal News with Sarah Longwell,-0.3857868020304568,0.467005076142132,-0.09427389691165396
1725442221,305924,4304.585736874684,1634.1065530309504,12626.650654830191,L,solo,1.0,47.0,306546,-1.032,Hawk Podcasts,-0.5380577427821522,0.6167979002624672,-0.9000720555902572
1728152109,234658,4619.918259188022,1966.040786741173,14647.225615104226,L,solo,1.0,30.0,242879,,THE DAILY BLAST with Greg Sargent,-0.6240963855421687,0.6578313253012048,-0.4267201869058718
1728340033,460167,5709.927103088346,2443.302906164768,18477.117496320912,L,multi,2.0,62.0,471523,-1.011,Mission Implausible,-0.1393728222996515,0.229965156794425,0.5024772049319592
1730358737,99556,2606.548737637658,539.049656142649,4078.5180340153256,L,solo,1.0,13.0,99556,-1.058,Letters from an American,-0.4923747276688453,0.5446623093681917,-2.7997047381133693
1743030473,411659,5481.8792367418,2354.701034534749,18658.75703676828,L,multi,2.0,59.0,419375,0.6405,The Rest Is Politics: US,-0.1820728291316526,0.3669467787114845,0.4013963068259052
1750591415,530395,4905.26965833176,2166.952462510934,20289.56979790468,R,solo,1.0,76.5,545362,,Candace,0.3261802575107296,0.5493562231759657,0.27174861624280505
1751785203,350335,7129.0775627380135,3078.44350275032,21309.56091006393,R,solo,1.0,48.0,356471,-0.688,Brad vs Everyone,0.2266187050359712,0.7446043165467626,1.5324440287296592
