item,label,total,p_total,pw_total,direct,p_direct,pw_direct,edu_b,edu_p,indirect,N,q_total,q_direct
Q23,citizens have power,0.008788862253852094,0.913168006691588,0.8833333333333333,0.0018157816433521726,0.9819967459912593,0.9733333333333334,-0.03264573579163267,0.25322808458595136,0.006916784239797835,1195,0.9407430563286246,0.9819967459912593
Q29,democracy doing well,-0.03027964813334553,0.6683599065430085,0.59,-0.018071838005262967,0.8002768564510943,0.7766666666666666,0.05932244559993679,0.03208869823177713,-0.012568886773171618,1185,0.9407430563286246,0.9819967459912593
Q30A,democracy best form,0.004623109870005622,0.9367414119573687,0.925,0.025376903094170594,0.6752631115581206,0.6583333333333333,0.09653262941283311,0.013421648258439544,-0.020452759098787535,1195,0.9407430563286246,0.9819967459912593
Q30B,people committed to democracy,0.03301253638742496,0.4776756896621311,0.435,0.02680713405704134,0.5378493305724252,0.46,-0.02882294165845392,0.5703758048577872,0.006106833366546586,1194,0.9407430563286246,0.9819967459912593
Q30C,leaders committed to democracy,0.027883132315377555,0.7282412222782819,0.675,0.02596030611519167,0.7479840170969142,0.6716666666666666,-0.008943688847766914,0.7098566167035669,0.0018949355732930178,1195,0.9407430563286246,0.9819967459912593
Q31,leaders held accountable,0.05426877643297546,0.1483903213032928,0.11333333333333333,0.054711084698292944,0.15703514778490194,0.10666666666666667,0.002124201310021813,0.9352806980169154,-0.0004500631334240785,1193,0.9407430563286246,0.9819967459912593
Q32C,election officials acted improperly,0.06284642080819783,0.3419711873954819,0.4216666666666667,0.04077236702233716,0.5138365819817348,0.54,-0.10417681135104581,0.0038649927686873857,0.02207236288085112,1196,0.9407430563286246,0.9819967459912593
Q32H,rich-poor gap,0.04253329424853794,0.4573778447873136,0.41833333333333333,0.035046509605477824,0.5443409192545016,0.505,-0.03558299793363009,0.2730585741790396,0.007539113864150483,1197,0.9407430563286246,0.9819967459912593
Q33A,trust courts,-0.02477968970147997,0.7250961705816455,0.7,-0.011888109977845892,0.8699596359430293,0.8233333333333334,0.06109377302367153,0.02456516665022792,-0.012944185087359115,1195,0.9407430563286246,0.9819967459912593
Q33B,trust Congress,0.06409619459012017,0.15002304824391094,0.03666666666666667,0.06132711959024866,0.15565873167390884,0.06,-0.013141841003444742,0.4786368964548039,0.002784415070768712,1196,0.9407430563286246,0.9819967459912593
Q33C,trust presidency,-0.01639813398772566,0.8538340089748512,0.84,-0.005876286799153994,0.9468827666788233,0.9416666666666667,0.05022694919032615,0.01497366266553736,-0.010641787117012013,1196,0.9407430563286246,0.9819967459912593
Q33D,trust people's role,-0.003738275873830698,0.9407430563286246,0.9416666666666667,0.004516718860927494,0.9274238327938851,0.9283333333333333,0.039234127144462436,0.31206702582867785,-0.00831269339515384,1197,0.9407430563286246,0.9819967459912593
Q33E,trust election administration,-0.01707660585099989,0.7379811058445389,0.7083333333333334,0.003559372291924566,0.9458230822124136,0.935,0.09784524317622312,0.04202279241111311,-0.020730867892214844,1195,0.9407430563286246,0.9819967459912593
Q33F,trust criminal justice,-0.025049541196197712,0.6508625815812847,0.59,-0.0097126132029512,0.8552736326970143,0.86,0.07417595161899208,0.03400085107937397,-0.015715959242117977,1195,0.9407430563286246,0.9819967459912593
Q33G,trust military,0.006063384685896078,0.9191697225114197,0.9066666666666666,0.020082987195815968,0.7424321361483218,0.7233333333333334,0.0655715953407726,0.04355003502130574,-0.013892919434448883,1195,0.9407430563286246,0.9819967459912593
Q33H,trust media (Q33H),-0.04399050789067289,0.5335626792017241,0.49333333333333335,-0.03216157382090003,0.6521219019251077,0.62,0.0548612941194736,0.035184702606607735,-0.011623684543748217,1195,0.9407430563286246,0.9819967459912593
Q34B,Q34B,-0.08843570866161868,0.07500941847937712,0.07833333333333334,-0.08343038850558614,0.08569080837803225,0.095,0.02378915719638796,0.4740265047433907,-0.005040305068456242,1197,0.9407430563286246,0.9819967459912593
Q36A,people (not govt) responsible for needs,0.04730407452174416,0.2937156173945692,0.235,0.03229758825508849,0.4735458222809727,0.41,-0.07237474812982575,0.034620230632990384,0.015334330964965536,1189,0.9407430563286246,0.9819967459912593
Q36C,leaders should NOT compromise,-0.01780385149175854,0.8401464784454137,0.8633333333333333,-0.0321513400937637,0.727576147052686,0.7666666666666667,-0.06674054296954583,0.051210041854784616,0.014140589102164569,1189,0.9407430563286246,0.9819967459912593
Q36E,hard to get along w/ different beliefs,-0.01167281256264644,0.8552486553688801,0.8366666666666667,-0.004095262962512308,0.947182199836862,0.94,0.03601937707914507,0.2631369022972858,-0.007631571280810949,1191,0.9407430563286246,0.9819967459912593
Q36G,diversity makes US weaker,0.051491903692245725,0.40080530087581573,0.325,0.05261809262043137,0.3797061990854823,0.2866666666666667,0.005211095069599686,0.8265134997336432,-0.001104095814520855,1185,0.9407430563286246,0.9819967459912593
Q36K,violence sometimes okay,0.005222724005006873,0.9222914340475526,0.9233333333333333,0.004108344404948625,0.9365868636066103,0.9083333333333333,-0.005331263308906735,0.8434536723877717,0.0011295563459994041,1193,0.9407430563286246,0.9819967459912593
Q37,young people: less likely better life,0.03017477075030012,0.44307031007401326,0.3333333333333333,0.0209128416616818,0.5816661378141197,0.46,-0.04401985890261037,0.11633520907938949,0.009326665762385392,1197,0.9407430563286246,0.9819967459912593
Q44,church attendance (higher=never),0.039878467220666174,0.4779495351674662,0.33666666666666667,0.018335908050748178,0.7487752309068267,0.6983333333333334,-0.1015205912204125,0.0009475662514683852,0.02150957876551477,1195,0.9407430563286246,0.9819967459912593
Q47,registered to vote (higher=no),-0.003602036364995097,0.8774593404320831,0.8783333333333333,-0.00874414997023637,0.7345282088307626,0.7716666666666666,-0.02508629231352867,0.25575605500228765,0.0053151343384225435,1185,0.9407430563286246,0.9819967459912593
Q49,household income,-0.05630044317982265,0.13006475233726222,0.09166666666666666,-0.045261678915349476,0.21861119567475182,0.21333333333333335,0.05284412345503436,0.029375248586038776,-0.011196298426620111,1185,0.9407430563286246,0.9819967459912593
Q13,volunteered (Y1; higher=no),0.013935448384543636,0.9056950897198067,0.885,-0.005488317585448044,0.9631940246752448,0.9583333333333334,-0.15399317578650443,0.15906659320050703,0.03262715774320251,383,0.9407430563286246,0.9819967459912593
n_src,number of news sources named (0-3),-0.004671850086133304,0.7620443483115706,0.79,-0.0018323182006385538,0.9029292806622272,0.9316666666666666,0.013401980529103118,0.2785572832723577,-0.0028395318854947415,1198,0.9407430563286246,0.9819967459912593
mainstream,names a mainstream outlet,-0.01445005797146436,0.8566328965737376,0.84,-0.0027281199646554755,0.9719411493859741,0.9666666666666667,0.05532502935892715,0.056806360560945623,-0.011721938006808874,1198,0.9407430563286246,0.9819967459912593
elec,election distrust composite,0.05435124618678874,0.41220072495691845,0.4216666666666667,0.02672093773958268,0.6715343688371348,0.6733333333333333,-0.1300887005450559,0.010678747743443491,0.027562419773563395,1194,0.9407430563286246,0.9819967459912593
cyn4,cynicism composite (4 items),0.034494177027218444,0.4748917606895976,0.44166666666666665,0.020545499530371446,0.6693867882228747,0.6683333333333333,-0.0662949164708857,0.019913250896770793,0.014046172411346447,1197,0.9407430563286246,0.9819967459912593
