show_id,show,n_eps,hours,med_ep_min
1535384390,Ruthless Podcast,20,25.81,82.4
1506127536,Making the Argument with Nick Freitas,20,27.54,72.3
1669610956,System Update with Glenn Greenwald,20,25.61,80.9
956270301,Rational Security,20,25.35,75.3
402306412,The Majority Report with Sam Seder,20,26.34,78.7
597919007,The Young Turks,19,25.09,66.2
929121341,Louder with Crowder,19,25.79,63.5
1485186805,Timothy Gordon Rules for Retrogrades Podcast,19,26.48,72.7
1200016351,Pod Save the World,18,26.28,90.6
1485351658,Bannon`s War Room,18,25.49,83.2
1507444393,X22 Report,18,25.7,92.3
354628391,Renegade Talk Radio,18,26.2,105.4
1549624070,Amarica's Constitution,18,25.47,85.4
1805186512,Going Rogue with Lara Logan,17,25.08,77.7
1579061364,Head in the Office,17,25.3,88.2
1568505052,MOATS with George Galloway,17,26.08,89.2
1362265400,Timcast News,17,25.85,93.8
1880163995,The Kyle Kulinski Show,16,26.19,101.1
1654162813,The Kyle Seraphin Show,16,26.94,80.3
1368074498,The Lars Larson Show Pacific Northwest Podcast,16,25.58,96.6
124960485,"Best of the Left - Leftist Perspectives on Progressive Politics, News, Culture, Economics and Democracy",15,25.58,68.6
1820648828,The Joy Reid Show,15,25.42,124.0
1721813926,Bad Hasbara - The World's Most Moral Podcast,15,26.69,107.2
1317356120,The Peter McCormack Show,15,26.21,98.8
1218054701,Rev Left Radio,15,25.83,104.4
1854256395,America First with Nicholas J. Fuentes Repost,13,26.49,126.2
1043245989,The Dig,13,27.44,128.7
1636762428,Dad Saves America,12,25.22,123.3
1584730781,The Benny Show,11,26.64,137.3
1865794721,Real Baron Podcast,8,26.63,199.4
1843478428,Owen Report,8,25.41,188.6
1263295815,The Pete Quiñones Show,5,25.43,335.3
