show_id,n,r_cyn,r_excl,show,dir_z,imper_syn,imper_rx,you_rx,lean,solo,n_hosts,ep_len,avg_host_cfscore,side,inten,elite_rate,people_rate,mediacrit_rate,populist_rate,rp_rate,pc_rate,antimedia_rate,horse_rate,strat_rate,game_rate,D4_biber,VIMP,PP2,you_deontic_rate,you_know_rate,imp_attention_rate,imp_action_rate,imp_epistemic_rate,you_addressive_rate,share_political,you_declar,nw,episodes,passages,imper_syn_z,imper_rx_z,you_rx_z,fmt_pos,you_declar_z,dir_z_declar,interview,multi,right
1584730781,6,-0.14014467121490573,0.02846006113807087,The Benny Show,0.6276454197936306,6806.25404734689,2133.405066529475,18884.796620210163,R,solo,1.0,100.0,0.865,0.8020434227330779,0.8454661558109834,3.222383663966348,7.97612533040319,2.3006658141381355,11.198508994369538,11.0243260936146,11.50332907069068,0.8913156760256107,26.120177492375863,9.449422365955373,35.56959985833124,0.0528494593508253,2.985965949548011,16.076703565793625,18.867924528301888,26.549865229110512,12.80323450134771,35.309973045822105,5.525606469002696,3.908355795148248,0.4307803598878741,,,,,,,,,,,0.0,0.0,1.0
1800671132,7,-0.5294203606802429,0.10522120069881787,Destiny,0.5895367026791737,4839.188458761127,2316.609622064335,23018.174960895107,L,solo,1.0,114.0,,-0.1346153846153846,0.5192307692307693,1.4628675454707996,4.198971658295814,2.858009741614247,5.661839203766613,7.070526469775532,6.582903954618598,0.5369265694672454,15.983182441255034,7.978046150762045,23.96122859201708,0.2604851957216035,2.120390281523938,25.60465702545516,24.549918166939445,25.62313863325373,12.342035362614364,28.03788468246089,2.5488986074964446,3.890424190389311,0.2706060097364445,,,,,,,,,,,0.0,0.0,0.0
1820648828,5,0.3204065817861915,0.022161553484608198,The Joy Reid Show,0.6052003477562117,5992.478050216009,2116.9032323385627,21195.79463259074,L,solo,1.0,171.5,-0.572,-0.6971153846153846,0.7548076923076923,1.5666814226196009,7.742320983875933,1.7124192293749123,9.309002406495534,7.742320983875933,13.025316478755984,0.5739701346799507,19.292042169234385,7.54193149958738,26.833973668821766,-0.0534187103744141,2.6804813605800923,18.04774786816084,15.904625706686623,47.847529436922784,12.29601315138798,39.293781157696365,4.677831090201948,4.945135723927774,0.2980769230769231,,,,,,,,,,,0.0,0.0,0.0
1880163995,7,-0.09115906306038078,0.3137006812842414,The Kyle Kulinski Show,1.0805971116671151,6931.419155907797,2916.3326446103906,17934.575276818596,L,solo,1.0,121.5,-0.943,-0.5907643312101911,0.7882165605095541,3.04138202678553,6.33918033685977,2.8348244652474026,9.3805623636453,14.416293260454127,9.715328066827782,1.041919076445529,25.24275855486632,10.000235048259682,35.242993603126,0.2086881226517874,4.0529444965357015,15.316124094511055,19.54371410338226,28.45139332057009,19.14486279514997,38.954477770687085,5.716868751329504,5.716868751329504,0.4287508973438622,,,,,,,,,,,0.0,0.0,0.0
402050558,9,-0.04792409554414477,0.23122771059423813,The David Pakman Show,0.3667285148074946,5087.031318494871,2817.1465929796905,16056.283899744749,L,solo,1.0,76.0,,-0.439469320066335,0.6583747927031509,1.7571142207915622,5.522358979630624,2.127662117693184,7.279473200422187,8.55846110263101,11.008858485367542,0.8461760054697651,28.52023490346032,11.391359540233733,39.91159444369406,0.6535361978473009,2.984986168704589,15.374587980684034,14.643042558006416,26.091239466993247,11.847552615114282,31.149745077940924,6.789047004166611,6.6559284354574615,0.5179877593670698,,,,,,,,,,,0.0,0.0,0.0
402306412,27,0.43236400654876544,0.19179197286324245,Majority Report,-0.368023539936805,58.29989969909729,22.254262788365097,210.04419508525575,L,solo,,,,,,4.30980441323972,4.858324974924774,0.940320962888666,9.168129388164497,12.92941323971916,10.50025075225677,0.4169539869608826,29.071589769307923,17.00413741223671,46.07572718154464,,,,,,,,,,,113.81801654964896,255232.0,22.0,2083.0,-0.2500877946858786,-0.5227937999024794,-0.331189025222057,-0.3817463647577299,-0.4562120838186093,-0.4096978928023224,0.0,0.0,0.0
597919007,28,0.2308526210248755,0.007233612176435347,The Young Turks,0.626878516051054,6604.729462487937,2605.4912445712566,16017.507688150135,L,multi,2.0,78.0,-1.0779999999999998,-0.5587326120556414,0.7287480680061824,3.3909913407020467,7.367597962281914,4.182966291984433,10.75858930298396,14.65153659872414,13.6587792654265,1.309352108716967,22.16972134751749,13.742438591266188,35.91215993878368,0.3209658908317978,2.7725902746982016,14.384914069557365,17.560321715817693,6.032171581769437,16.621983914209114,42.22520107238606,4.691689008042896,5.495978552278821,0.3954970557672324,,,,,,,,,,,0.0,1.0,0.0
75462585,72,-0.23384880909742906,-0.34328045934019474,NBC Nightly News with Tom Llamas,-0.1600018410542404,5768.492523648053,1433.7994927344348,18145.55457472967,L,solo,1.0,28.0,,-0.2698795180722891,0.3036144578313253,1.3002705907936358,3.8783933139189486,0.2914399600054701,5.178663904712584,4.1249963570005,6.434097578582302,0.6922819973053013,23.06859375735605,5.716706907799606,28.78530066515566,-1.4332437399993192,4.036848414581536,15.03463752157032,14.97454327643007,26.409649051158485,9.120858177461953,38.38928367230254,3.1310408668899234,4.220098559721201,0.2074848651623555,,,,,,,,,,,0.0,0.0,0.0
929121341,8,0.759940968454779,0.18919865432389543,Louder with Crowder,2.009295500993425,7756.232216378907,3085.034955182241,24820.231734618446,R,solo,1.0,101.0,0.904,0.551622418879056,0.671583087512291,1.5233771429815002,4.256248775857653,2.029774489961614,5.779625918839153,7.00167571485728,6.553869796453377,0.5958957541302772,15.221216123691528,3.741481224795223,18.96269734848675,-0.3259015615982916,4.482230939791044,17.971324377346924,21.810823949861383,33.63596946484647,17.606327766755573,51.76785925449027,7.357868320435165,5.781182251770487,0.1554010349288486,,,,,,,,,,,0.0,0.0,1.0
HOLDOUT_beck,58,0.20926712425210864,0.04766730348777728,Glenn Beck,1.2556331479884884,91.09734224686125,29.039621718571663,309.7505299201043,R,solo,,,,,,3.627422730776488,6.465003415335515,2.062365342901148,10.092426146112002,6.61127046093134,8.761396031189985,0.3372186736211771,19.99470513294943,5.82142841471388,25.816133547663316,,,,,,,,,,0.1463870431893687,224.76765041578344,613300.0,45.0,4816.0,1.6368096503434917,0.5127701503563573,1.6173196432656158,0.0044835750333121,2.6566070258652883,1.6020622755217122,0.0,0.0,1.0
