show_id,show,publisher,hours,host,n_hosts,n_hosts_scored,coverage,avg_host_cfscore,host_cfscore_detail
1362265400,Timcast News,Timcast Media,25.85,Timothy Daniel Pool,1.0,1.0,full,1.00725,Timothy Daniel Pool=1.007
1485186805,Timothy Gordon Rules for Retrogrades Podcast,Timothy Gordon,26.48,Timothy Gord,1.0,1.0,full,0.952,Timothy Gord=0.952
1474001390,TRUE ANON TRUTH FEED,TrueAnon,25.82,"Hosted by Brace Belden, Liz Francis, and Steven Goldberg",3.0,1.0,partial,-1.007,Hosted by Brace Belden=NA; Liz Francis=NA; Steven Goldberg=-1.007
1715894000,Trump's Terms,NPR,25.01,Scott Detrow,1.0,0.0,none,,Scott Detrow=NA
1378389941,Uncommon Knowledge,Hoover Institution,26.03,Peter Robinson,1.0,1.0,full,-1.0605,Peter Robinson=-1.060
1535255041,Unf*cking The Republic,UNFTR Media,25.6,Manny Faces,1.0,0.0,none,,Manny Faces=NA
1709994511,UNGOVERNED,Shawn Farash,25.51,Shawn Farash,1.0,1.0,full,1.659,Shawn Farash=1.659
1317481380,UnJustified,MSW Media,25.61,Allison Gill,1.0,1.0,full,-0.998,Allison Gill=-0.998
1476110521,Useful Idiots with Katie Halper and Aaron Maté,"Useful Idiots, LLC",25.06,Katie Halper and Aaron Maté,2.0,2.0,full,-1.0075,Katie Halper=-1.076; Aaron Maté=-0.939
1495601614,Verdict with Ted Cruz,Premiere Networks,25.35,Ted Cruz,1.0,1.0,full,1.52,Ted Cruz=1.520
1548554104,Volts,David Roberts,25.43,David Roberts,1.0,0.0,none,,David Roberts=NA
682478916,War on the Rocks,Ryan Evans,25.16,Ryan Evans,1.0,1.0,full,-1.021,Ryan Evans=-1.021
387042247,Washington Today,C-SPAN,25.55,,0.0,0.0,no_host_listed,,
702998658,Week In Review,KUOW News and Information,25.56,Bill Radke,1.0,0.0,none,,Bill Radke=NA
1614844654,Week In Review,FITSNews,25.79,Will Folks,1.0,0.0,none,,Will Folks=NA
1647025876,Wendy Bell Radio Podcast,Wendy Bell,25.32,Wendy Bell,1.0,1.0,full,-0.979,Wendy Bell=-0.979
1695205478,What Really Matters with Walter Russell Mead,Tablet Magazine,25.34,Walter Russell Mead,1.0,0.0,none,,Walter Russell Mead=NA
1467993804,What the Hell Is Going On,AEI Podcasts,25.25,Danielle Pletka and Marc Thiessen,2.0,2.0,full,1.2265,Danielle Pletka=1.254; Marc Thiessen=1.199
1869456664,What's The Plan? with Leah Greenberg and Ezra Levin,Indivisible,25.76,Leah Greenberg and Ezra Levin,2.0,0.0,none,,Leah Greenberg=NA; Ezra Levin=NA
1507444393,X22 Report,X22 Report,25.7,,0.0,0.0,no_host_listed,,
