show_id,show,publisher,hours,host,n_hosts,n_hosts_scored,coverage,avg_host_cfscore,host_cfscore_detail
1714009198,Mea Culpa,Michael Cohen,25.55,Michael Cohen,1.0,0.0,none,,Michael Cohen=NA
1728340033,Mission Implausible,iHeartPodcasts,25.66,John Sipher and Jerry O'She,2.0,1.0,partial,-1.011,John Sipher=-1.011; Jerry O'She=NA
1568505052,MOATS with George Galloway,Molucca Media Ltd,26.08,George Galloway,1.0,0.0,none,,George Galloway=NA
75462585,NBC Nightly News with Tom Llamas,NBC News,25.14,Tom Llamas,1.0,0.0,none,,Tom Llamas=NA
1452065072,Newt's World,Gingrich 360,25.01,Newt Gingrich,1.0,1.0,full,1.3655,Newt Gingrich=1.365
1810218232,Next Up with Mark Halperin,MK Media,25.48,Mark Halperin,1.0,0.0,none,,Mark Halperin=NA
1767877239,No Gods No Mayors,The Office of the Mayor,25.23,"Mattie Lubchansky, Riley Quinn, and November Kelly",3.0,1.0,partial,-1.137,Mattie Lubchansky=NA; Riley Quinn=-1.137; November Kelly=NA
1515399733,No Lie with Brian Tyler Cohen,Brian Tyler Cohen,25.46,Brian Tyler Cohen,1.0,1.0,full,-1.072,Brian Tyler Cohen=-1.072
1889705401,Nobody Knows Anything,Narrowcast Media,25.82,Franklin Leonard,1.0,0.0,none,,Franklin Leonard=NA
73330715,On the Media,WNYC Studios,25.39,Brooke Gladstone and Micah Loewinger,2.0,1.0,partial,-1.032,Brooke Gladstone=-1.032; Micah Loewinger=NA
1147092464,Opening Arguments,Opening Arguments Media LLC,25.38,Thomas Smith and Matt Cameron,2.0,1.0,partial,-1.015,Thomas Smith=-1.015; Matt Cameron=NA
1843478428,Owen Report,Owen Shroyer,25.41,Owen Shroyer,1.0,0.0,none,,Owen Shroyer=NA
1877144831,Paul Krugman Podcast,Paul Krugman,25.25,Paul Krugman,1.0,0.0,none,,Paul Krugman=NA
1702202187,Perino on Politics,FOX News Podcasts,25.35,Dana Perino,1.0,1.0,full,1.3355,Dana Perino=1.335
1818418128,Pod Force One,New York Post,26.12,Miranda Devine,1.0,0.0,none,,Miranda Devine=NA
1192761536,Pod Save America,Pod Save America,26.04,"Jon Favreau, Tommy Vietor, Jon Lovett, and Dan Pfeiffer",4.0,4.0,full,-0.975875,Jon Favreau=-0.898; Tommy Vietor=-0.889; Jon Lovett=-1.032; Dan Pfeiffer=-1.085
1200016351,Pod Save the World,Pod Save the World,26.28,Tommy Vietor and Ben Rhodes,2.0,2.0,full,-0.9536,Tommy Vietor=-0.889; Ben Rhodes=-1.018
158004641,Political Gabfest,Slate Podcasts,25.33,"Emily Bazelon, John Dickerson, and David Plotz",3.0,3.0,full,-0.9198333333333334,Emily Bazelon=-0.858; John Dickerson=-0.765; David Plotz=-1.137
1356662668,Politically Georgia,The Atlanta Journal-Constitution,25.82,"Greg Bluestein, Tia Mitchell, and Patricia Murphy",3.0,2.0,partial,-0.947,Greg Bluestein=NA; Tia Mitchell=-1.070; Patricia Murphy=-0.824
1480605295,POLITICO Energy,POLITICO,25.0,"Josh Siegel, Manuel Quiñones, Zack Colman, and Nirmal Mulaikal",4.0,0.0,none,,Josh Siegel=NA; Manuel Quiñones=NA; Zack Colman=NA; Nirmal Mulaikal=NA
1873028393,Politics Chat,Heather Cox Richardson,25.51,Heather Cox Richardson,1.0,1.0,full,-1.058,Heather Cox Richardson=-1.058
1484862164,Politics War Room with James Carville & Al Hunt,Politicon,26.13,James Carville and Al Hunt,2.0,1.0,partial,-0.4995,James Carville=-0.499; Al Hunt=NA
