show,extracted_host,host_source,match_confidence,publisher,notes
Straight White American Jesus,Daniel Miller,ITUNES_AUTHOR,high,Bradley Onishi + Daniel Miller,
The Intercept Briefing,,UNKNOWN,none,The Intercept,
The Loren Piretra Show,Loren Piretra,ITUNES_AUTHOR,high,Loren Piretra,
Tangle,Isaac Saul,ITUNES_AUTHOR,high,Isaac Saul,
GZERO World with Ian Bremmer,Ian Bremmer,PARSED_FROM_TITLE,medium,GZERO Media,
Human Events Daily with Jack Posobiec,Jack Posobiec,PARSED_FROM_TITLE,medium,Human Events with Jack Posobiec,
The Michael Berry Show,Michael Berry,PARSED_FROM_TITLE,low,KTRH (KTRH-AM),
The Chris Cuomo Project,Chris Cuomo,ITUNES_AUTHOR,high,Chris Cuomo,
The Skepticrat,,PUBLISHER_ONLY,none,"Puzzle in a Thunderstorm, LLC","publisher-only fields: Audioboom, LLC"
The Foreign Affairs Interview,,PUBLISHER_ONLY,none,Foreign Affairs Magazine,publisher-only fields: Foreign Affairs Magazine
The Brian Lehrer Show,Brian Lehrer,PARSED_FROM_TITLE,low,WNYC,
Glenn Diesen - Greater Eurasia Podcast,Glenn Diesen,ITUNES_AUTHOR,high,Glenn Diesen,
Fox Across America w/ Jimmy Failla,Jimmy Failla,PARSED_FROM_TITLE,medium,FOX News Podcasts,
Rev Left Radio,Breht O'Shea,ITUNES_OWNER,high,Revolutionary Left Radio,
The Graham Allen Show,Graham Allen,ITUNES_AUTHOR,high,Graham Allen,
Going Rogue with Lara Logan,Lara Logan,ITUNES_AUTHOR,high,Lara Logan,
RealClearPolitics Podcast,Carl Cannon,ITUNES_AUTHOR,high,"RealClearPolitics, Carl Cannon, Tom Bevan",
RealClearPolitics Podcast,Tom Bevan,ITUNES_AUTHOR,high,"RealClearPolitics, Carl Cannon, Tom Bevan",
The Tom Woods Show,Tom Woods,ITUNES_AUTHOR,high,Tom Woods,
The Joy Reid Show,Joy-Ann Reid,ITUNES_AUTHOR,high,Joy-Ann Reid,
Nobody Knows Anything,,PUBLISHER_ONLY,none,Narrowcast Media,publisher-only fields: Narrowcast Media
The Smerconish Podcast,,PUBLISHER_ONLY,none,SiriusXM,publisher-only fields: SiriusXM
The Source with Kaitlan Collins,Kaitlan Collins,PARSED_FROM_TITLE,medium,CNN Podcasts,
American Prestige,Daniel Bessner,ITUNES_AUTHOR,high,Daniel Bessner & Derek Davison,
American Prestige,Derek Davison,ITUNES_AUTHOR,high,Daniel Bessner & Derek Davison,
System Update with Glenn Greenwald,Glenn Greenwald,PARSED_FROM_TITLE,medium,Rumble,
Volts,David Roberts,ITUNES_AUTHOR,high,David Roberts,
Wendy Bell Radio Podcast,Wendy Bell,ITUNES_AUTHOR,high,Wendy Bell,
Uncommon Knowledge,,PUBLISHER_ONLY,none,Hoover Institution,publisher-only fields: Hoover Institution
Brian Tyler Cohen,,PUBLISHER_ONLY,none,Brian Tyler Cohen Network,publisher-only fields: Brian Tyler Cohen Network
Checks and Balance from The Economist,,PUBLISHER_ONLY,none,The Economist,publisher-only fields: The Economist
Trump's Terms,,PUBLISHER_ONLY,none,NPR,publisher-only fields: NPR
The Mel K Show,Mel K,ITUNES_AUTHOR,high,Mel K,
Defending Democracy with Marc Elias,Marc Elias,PARSED_FROM_TITLE,medium,Democracy Docket,
The Coffee Klatch with Robert Reich,Robert Reich,ITUNES_AUTHOR,high,Robert Reich,
The Breakdown,Alberto fo sho,ITUNES_AUTHOR,high,Alberto fo sho,
Lectures in History,,PUBLISHER_ONLY,none,C-SPAN,publisher-only fields: C-SPAN
Opening Arguments,,PUBLISHER_ONLY,none,Opening Arguments Media LLC,publisher-only fields: Opening Arguments Media LLC
What Really Matters with Walter Russell Mead,Walter Russell Mead,PARSED_FROM_TITLE,medium,Tablet Magazine,
The Pete Quiñones Show,Peter R Quiñones,ITUNES_AUTHOR,high,Peter R Quiñones,
Mission Implausible,Jonathan Stern,ITUNES_OWNER,high,iHeartPodcasts,
Dad Saves America,John Papola,ITUNES_AUTHOR,high,John Papola,
10 Minute Drill,Matt Whitlock,ITUNES_AUTHOR,high,Matt Whitlock,
American Thought Leaders,,PUBLISHER_ONLY,none,The Epoch Times,publisher-only fields: The Epoch Times
The Tony Kinnett Cast,,PUBLISHER_ONLY,none,The Daily Signal,publisher-only fields: The Daily Signal
Head in the Office,,PUBLISHER_ONLY,none,HITO Media LLC,publisher-only fields: HITO Media LLC
Slate News,,PUBLISHER_ONLY,none,Slate Podcasts,publisher-only fields: Slate Podcasts
Conversations with Bill Kristol,Bill Kristol,ITUNES_AUTHOR,high,Bill Kristol,
The Al Franken Podcast,Al Franken,PARSED_FROM_TITLE,low,The Al Franken Podcast,
American Conservative University,,PUBLISHER_ONLY,none,American Conservative University,publisher-only fields: American Conservative University
HasanAbi,,UNKNOWN,none,HasanAbi,
What the Hell Is Going On,,PUBLISHER_ONLY,none,AEI Podcasts,publisher-only fields: AEI Podcasts
Paul Krugman Podcast,Paul Krugman,ITUNES_AUTHOR,high,Paul Krugman,
Deseret Voices,,PUBLISHER_ONLY,none,Deseret News,publisher-only fields: Deseret News
UNGOVERNED,Shawn Farash,ITUNES_AUTHOR,high,Shawn Farash,
KQED's Forum,,UNKNOWN,none,KQED,
