show_id,chart_rank,show_name,show_label,publisher,excluded_reason
1462703434,84,Know Your Enemy,Know Your Enemy,Matthew Sitman,
1886801652,86,Sidebar with Katie Phang,Sidebar with Katie Phang,Katie Phang,
1584730781,87,The Benny Show,The Benny Show,Benny Johnson,
1517313007,88,The Hugh Hewitt Show: Highly Concentrated,The Hugh Hewitt Show: Highly Concentrated,Salem Podcast Network,
1441649707,89,Straight White American Jesus,Straight White American Jesus,Bradley Onishi + Daniel Miller,
1195206601,90,The Intercept Briefing,The Intercept Briefing,The Intercept,
1889550138,91,The Loren Piretra Show,The Loren Piretra Show,Loren Piretra,not in H25 transcript set; kept out of corpus by decision 2026-08-14
1538788132,92,Tangle,Tangle,Isaac Saul,
1294461271,93,GZERO World with Ian Bremmer,GZERO World with Ian Bremmer,GZERO Media,
1585243541,94,Human Events Daily with Jack Posobiec,Human Events Daily with Jack Posobiec,Human Events with Jack Posobiec,
1253076699,95,The Michael Berry Show,The Michael Berry Show,KTRH (KTRH-AM),
1635418897,96,The Chris Cuomo Project,The Chris Cuomo Project,Chris Cuomo,
969924303,97,The Skepticrat,The Skepticrat,"Puzzle in a Thunderstorm, LLC",
1623855270,98,The Foreign Affairs Interview,The Foreign Affairs Interview,Foreign Affairs Magazine,
73331636,99,The Brian Lehrer Show,The Brian Lehrer Show,WNYC,
1822142909,100,Glenn Diesen - Greater Eurasia Podcast,Glenn Diesen - Greater Eurasia Podcast,Glenn Diesen,
1072469956,101,Fox Across America w/ Jimmy Failla,Fox Across America w/ Jimmy Failla,FOX News Podcasts,
1218054701,102,Rev Left Radio,Rev Left Radio,Revolutionary Left Radio,
1456850698,103,The Graham Allen Show,The Graham Allen Show,Graham Allen,
1805186512,104,Going Rogue with Lara Logan,Going Rogue with Lara Logan,Lara Logan,
1509826894,107,RealClearPolitics Podcast,RealClearPolitics Podcast,"RealClearPolitics, Carl Cannon, Tom Bevan",
716825890,108,The Tom Woods Show,The Tom Woods Show,Tom Woods,
1820648828,109,The Joy Reid Show,The Joy Reid Show,Joy-Ann Reid,
1889705401,111,Nobody Knows Anything,Nobody Knows Anything,Narrowcast Media,
1573813504,112,The Smerconish Podcast,The Smerconish Podcast,SiriusXM,
1696974077,113,The Source with Kaitlan Collins,The Source with Kaitlan Collins,CNN Podcasts,
1574741668,114,American Prestige,American Prestige,Daniel Bessner & Derek Davison,
1669610956,115,System Update with Glenn Greenwald,System Update with Glenn Greenwald,Rumble,
1548554104,116,Volts,Volts,David Roberts,
1647025876,118,Wendy Bell Radio Podcast,Wendy Bell Radio Podcast,Wendy Bell,
1378389941,119,Uncommon Knowledge,Uncommon Knowledge,Hoover Institution,
1896576050,120,Brian Tyler Cohen,Brian Tyler Cohen,Brian Tyler Cohen Network,
1494037881,121,Checks and Balance from The Economist,Checks and Balance from The Economist,The Economist,not in H25 transcript set; kept out of corpus by decision 2026-08-14
1715894000,123,Trump's Terms,Trump's Terms,NPR,
1587492577,124,The Mel K Show,The Mel K Show,Mel K,
1660317917,125,Defending Democracy with Marc Elias,Defending Democracy with Marc Elias,Democracy Docket,
1635446643,126,The Coffee Klatch with Robert Reich,The Coffee Klatch with Robert Reich,Robert Reich,
1722246285,127,The Breakdown,The Breakdown,Alberto fo sho,
506779862,128,Lectures in History,Lectures in History,C-SPAN,
1147092464,130,Opening Arguments,Opening Arguments,Opening Arguments Media LLC,
1695205478,131,What Really Matters with Walter Russell Mead,What Really Matters with Walter Russell Mead,Tablet Magazine,
1263295815,134,The Pete Quiñones Show,The Pete Quiñones Show,Peter R Quiñones,
1728340033,135,Mission Implausible,Mission Implausible,iHeartPodcasts,
1636762428,136,Dad Saves America,Dad Saves America,John Papola,
1798460240,137,10 Minute Drill,10 Minute Drill,Matt Whitlock,
1471411980,138,American Thought Leaders,American Thought Leaders,The Epoch Times,
1714879044,139,The Tony Kinnett Cast,The Tony Kinnett Cast,The Daily Signal,
1579061364,140,Head in the Office,Head in the Office,HITO Media LLC,
1093260018,141,Slate News,Slate News,Slate Podcasts,
925428680,142,Conversations with Bill Kristol,Conversations with Bill Kristol,Bill Kristol,
1462195742,143,The Al Franken Podcast,The Al Franken Podcast,The Al Franken Podcast,
1576614213,144,American Conservative University,American Conservative University,American Conservative University,
1696250206,145,HasanAbi,HasanAbi,HasanAbi,not in H25 transcript set; kept out of corpus by decision 2026-08-14
1467993804,146,What the Hell Is Going On,What the Hell Is Going On,AEI Podcasts,
1877144831,147,Paul Krugman Podcast,Paul Krugman Podcast,Paul Krugman,
1849994842,148,Deseret Voices,Deseret Voices,Deseret News,not in H25 transcript set; kept out of corpus by decision 2026-08-14
1709994511,149,UNGOVERNED,UNGOVERNED,Shawn Farash,
73329719,150,KQED's Forum,KQED's Forum,KQED,
1785081636,151,The Mary Trump Podcast,The Mary Trump Podcast,Mary Trump Media,
1432118523,152,The Damage Report with John Iadarola,The Damage Report with John Iadarola,TYT Network,
1896897095,153,Wired In,Wired In,The Daily Wire,not in H25 transcript set; kept out of corpus by decision 2026-08-14
791564318,155,Jacobin Radio,Jacobin Radio,Jacobin,
1843478428,156,Owen Report,Owen Report,Owen Shroyer,
1531192509,157,Bad Faith,Bad Faith,Briahna Joy Gray,
1702202187,160,Perino on Politics,Perino on Politics,FOX News Podcasts,
1568505052,161,MOATS with George Galloway,MOATS with George Galloway,Molucca Media Ltd,
380996798,162,"The Bob Cesca Show | Politics Podcast, News & Commentary","The Bob Cesca Show | Politics Podcast, News & Commentary",Bob Cesca,
1172546141,163,The President’s Inbox,The President’s Inbox,Council on Foreign Relations,
1043245989,164,The Dig,The Dig,Daniel Denvir,
1535255041,165,Unf*cking The Republic,Unf*cking The Republic,UNFTR Media,
387042247,166,Washington Today,Washington Today,C-SPAN,
682478916,167,War on the Rocks,War on the Rocks,Ryan Evans,
983782306,168,Federalist Radio Hour,Federalist Radio Hour,Radio America,
1111319839,169,The Conversation with Dasha Burns,The Conversation with Dasha Burns,POLITICO,
1476110521,170,Useful Idiots with Katie Halper and Aaron Maté,Useful Idiots with Katie Halper and Aaron Maté,"Useful Idiots, LLC",
1549624070,171,Amarica's Constitution,Amarica's Constitution,Akhil Reed Amar,
1289062927,172,ChinaTalk,ChinaTalk,Jordan Schneider,
1570380458,173,The Victor Davis Hanson Show,The Victor Davis Hanson Show,Victor Davis Hanson and Jack Fowler,
1356662668,174,Politically Georgia,Politically Georgia,The Atlanta Journal-Constitution,
1725442221,175,Hawk Podcasts,Hawk Podcasts,Hawk,
1721813926,176,Bad Hasbara - The World's Most Moral Podcast,Bad Hasbara - The World's Most Moral Podcast,Matt Lieb,
1439837349,177,The Political Orphanage,The Political Orphanage,Andrew Heaton,
1671451793,178,Maiden Mother Matriarch with Louise Perry,Maiden Mother Matriarch with Louise Perry,Louise Perry,
1502568407,179,SGT Report’s The Propaganda Antidote,SGT Report’s The Propaganda Antidote,SGT Report,
1875402719,180,Make It Make Sense,Make It Make Sense,The Washington Post,not in H25 transcript set; kept out of corpus by decision 2026-08-14
1607829807,181,Mark Kaye Saves The Republic,Mark Kaye Saves The Republic,Kayetriot Media,
545045867,182,Scott Horton Show - Just the Interviews,Scott Horton Show - Just the Interviews,Scott Horton,
1317356120,183,The Peter McCormack Show,The Peter McCormack Show,Peter McCormack,
1570432345,184,Firing Line with Margaret Hoover,Firing Line with Margaret Hoover,Firing Line With Margaret Hoover,
1818658022,185,"Life, Liberty & Levin Podcast","Life, Liberty & Levin Podcast",FOX News Podcasts,
1634341981,186,Antiwar News With Dave DeCamp,Antiwar News With Dave DeCamp,Dave DeCamp,
474763182,187,The Globalist,The Globalist,Monocle,
1871628261,188,The Harry Sisson Show,The Harry Sisson Show,Harry Sisson,
1788891712,189,It's A Numbers Game with Ryan Girdusky,It's A Numbers Game with Ryan Girdusky,iHeartPodcasts,
1654162813,190,The Kyle Seraphin Show,The Kyle Seraphin Show,Kyle Seraphin,
1480605295,191,POLITICO Energy,POLITICO Energy,POLITICO,
1763234285,192,Autocracy in America,Autocracy in America,The Atlantic,not in H25 transcript set; kept out of corpus by decision 2026-08-14
1648125917,193,Stay Free with Russell Brand,Stay Free with Russell Brand,Stay Free with Russell Brand,
1612691018,194,THE WEEKEND SHOW,THE WEEKEND SHOW,Evergreen Podcasts,
1880163995,195,The Kyle Kulinski Show,The Kyle Kulinski Show,Kyle Kulinski,
1536984072,197,The Dishcast with Andrew Sullivan,The Dishcast with Andrew Sullivan,Andrew Sullivan,
1309354521,198,Majority 54,Majority 54,Majority 54,
1362265400,199,Timcast News,Timcast News,Timcast Media,
1874174561,200,Hope For America with Heather Delaney Reese,Hope For America with Heather Delaney Reese,Heather Delaney Reese,
124960485,201,"Best of the Left - Leftist Perspectives on Progressive Politics, News, Culture, Economics and Democracy","Best of the Left - Leftist Perspectives on Progressive Politics, News, Culture, Economics and Democracy","Best of the Left: Perspectives on Politics, Culture, and Economics",
1587936366,202,The Inside Story Podcast,The Inside Story Podcast,Al Jazeera,
1594728054,204,The Great America Show,The Great America Show,Fawcett Strategies,
1767877239,205,No Gods No Mayors,No Gods No Mayors,The Office of the Mayor,
1549502623,206,Cleanup on Aisle 45 with AG & Harry Dunn,Cleanup on Aisle 45 with AG & Harry Dunn,MSW Media,
956270301,207,Rational Security,Rational Security,The Lawfare Institute,
1548086514,209,The Arena,The Arena,Father Josiah Trenham,
1155629323,210,The Reason Roundtable,The Reason Roundtable,The Reason Roundtable,
1868807558,211,Batya!,Batya!,Batya,
1592116227,212,The Breitbart News Daily Podcast,The Breitbart News Daily Podcast,SiriusXM,
1809246826,213,The Keith Edwards Show,The Keith Edwards Show,Keith Edwards,
1060110806,214,The Nation Podcasts,The Nation Podcasts,The Nation Magazine,
702998658,215,Week In Review,Week In Review (KUOW News and Information),KUOW News and Information,
1493858530,217,Hood Politics with Prop,Hood Politics with Prop,Cool Zone Media and iHeartPodcasts,
1485186805,219,Timothy Gordon Rules for Retrogrades Podcast,Timothy Gordon Rules for Retrogrades Podcast,Timothy Gordon,
1567204040,221,The Drill Down with Peter Schweizer,The Drill Down with Peter Schweizer,Government Accountability Institute,
1869456664,222,What's The Plan? with Leah Greenberg and Ezra Levin,What's The Plan? with Leah Greenberg and Ezra Levin,Indivisible,
1599294971,223,Extremely American,Extremely American,NPR,not in H25 transcript set; kept out of corpus by decision 2026-08-14
1614844654,224,Week In Review,Week In Review (FITSNews),FITSNews,
1751785203,225,Brad vs Everyone,Brad vs Everyone,iHeartPodcasts,
1871930209,226,Essential Minnesota,Essential Minnesota,Minnesota Star Tribune,not in H25 transcript set; kept out of corpus by decision 2026-08-14
1599891719,229,Seattle Nice,Seattle Nice,"David Hyde, Erica Barnett, and Sandeep Kaushik",
1368074498,230,The Lars Larson Show Pacific Northwest Podcast,The Lars Larson Show Pacific Northwest Podcast,Lars Larson,
1800671132,231,Destiny,Destiny,Destiny,
1801103648,232,The Nerd Reich,The Nerd Reich,nerdreich,not in H25 transcript set; kept out of corpus by decision 2026-08-14
1208232103,233,The Buck Sexton Show,The Buck Sexton Show,Premiere Networks,
1485021241,234,The Reason Interview With Nick Gillespie,The Reason Interview With Nick Gillespie,The Reason Interview With Nick Gillespie,
1884144340,235,Get Angry,Get Angry,"Bryan Andrews, ItsLuke",not in H25 transcript set; kept out of corpus by decision 2026-08-14
1606834013,236,The Josh Hammer Show,The Josh Hammer Show,The Josh Hammer Show,
1714009198,237,Mea Culpa,Mea Culpa,Michael Cohen,
1839861250,238,The Moment with Jorge Ramos and Paola Ramos,The Moment with Jorge Ramos and Paola Ramos,iHeartPodcasts,
1659250199,240,"Mueller, She Wrote - When the Facts Were Fresh","Mueller, She Wrote - When the Facts Were Fresh",MSW Media,not in H25 transcript set; kept out of corpus by decision 2026-08-14
1449848509,241,I Don't Speak German,I Don't Speak German,IDSG,
1556687660,242,Candace Owens,Candace Owens,The Daily Wire,not in H25 transcript set; kept out of corpus by decision 2026-08-14
1633301179,244,Countdown with Keith Olbermann,Countdown with Keith Olbermann,iHeartPodcasts,
1482179882,245,The Mona Charen Show,The Mona Charen Show,The Bulwark,
1112258664,246,Russian Roulette,Russian Roulette,Center for Strategic and International Studies,
1871531782,248,Uncertain with DL Hughley,Uncertain with DL Hughley,DL Hughley,not in H25 transcript set; kept out of corpus by decision 2026-08-14
1721969693,249,Politix,Politix,Politix,
1351411911,250,The TPM Show with Josh and Kate,The TPM Show with Josh and Kate,Talking Points Memo,
