show_id,show,publisher,hours,host
1536984072,The Dishcast with Andrew Sullivan,Andrew Sullivan,25.02,Andrew Sullivan
1567204040,The Drill Down with Peter Schweizer,Government Accountability Institute,25.3,Peter Schweizer
1586423406,The Focus Group Podcast,The Bulwark,25.54,Sarah Longwell
1623855270,The Foreign Affairs Interview,Foreign Affairs Magazine,25.65,Daniel Kurtz-Phelan
1303660358,The Fox News Rundown,FOX News Podcasts,25.49,
474763182,The Globalist,Monocle,25.69,Emma Nelson and Andrew Mueller
1456850698,The Graham Allen Show,Graham Allen,28.2,Graham Allen
1594728054,The Great America Show,Fawcett Strategies,25.6,Lou Dobbs
1871628261,The Harry Sisson Show,Harry Sisson,25.05,Harry Sisson
1517313007,The Hugh Hewitt Show: Highly Concentrated,Salem Podcast Network,25.01,Hugh Hewitt
1725387804,The Illegal News with Sarah Longwell,The Bulwark,25.38,Sarah Longwell
1587936366,The Inside Story Podcast,Al Jazeera,25.37,Malika Bila
1195206601,The Intercept Briefing,The Intercept,25.42,"Jordan Uhl, Jessica Washington, and Akela Lacy"
1795032531,The Jim Acosta Show,Jim Acosta,25.04,Jim Acosta
1606834013,The Josh Hammer Show,The Josh Hammer Show,25.23,Josh Hammer
1820648828,The Joy Reid Show,Joy-Ann Reid,25.42,Joy Reid
1809246826,The Keith Edwards Show,Keith Edwards,25.01,Keith Edward
1880163995,The Kyle Kulinski Show,Kyle Kulinski,26.19,Kyle Kulinski
1654162813,The Kyle Seraphin Show,Kyle Seraphin,26.94,Kyle Seraphin
1368074498,The Lars Larson Show Pacific Northwest Podcast,Lars Larson,25.58,Lars Larson
1551582052,The Lincoln Project,The Lincoln Project,25.3,Rick Wilson
402306412,The Majority Report with Sam Seder,Sam Seder,26.34,Sam Seder
1785081636,The Mary Trump Podcast,Mary Trump Media,25.43,Mary Trump
1510240831,The MeidasTouch Podcast,MeidasTouch Network,25.26,"Ben Meiselas, Brett Meiselas, and Jordan Meiselas"
1587492577,The Mel K Show,Mel K,25.74,Melody Krell
1253076699,The Michael Berry Show,KTRH (KTRH-AM),25.45,Michael Berry
1839861250,The Moment with Jorge Ramos and Paola Ramos,iHeartPodcasts,25.46,Jorge Ramos and Paola Ramos
1482179882,The Mona Charen Show,The Bulwark,25.43,Mona Charen
1060110806,The Nation Podcasts,The Nation Magazine,25.15,"Jon Wiener, Dave Zirin, and Jeet Heer"
1640311112,The Necessary Conversation,The Necessary Conversation,25.01,"Chad Kultgen, Haley Popp, Mary Lou Kultgen, Bob Kultgen"
1050430296,The New Yorker Radio Hour,WNYC Studios and The New Yorker,25.17,David Remnick
1647085571,The Next Level,The Bulwark,25.66,"Emmett Golden, Jerod Cherry, and Nick Paulus"
1057255460,The NPR Politics Podcast,NPR,25.05,Tamara Keith and Miles Parks
1263295815,The Pete Quiñones Show,Peter R Quiñones,25.43,Pete Quiñones
1317356120,The Peter McCormack Show,Peter McCormack,26.21,The Peter McCormack
1169056746,The Playbook Podcast,POLITICO,25.04,Jack Blanchard and Dasha Burns
1439837349,The Political Orphanage,Andrew Heaton,25.08,Andrew Heaton
268213039,The Political Scene | The New Yorker,The New Yorker,25.13,"David Remnick, Tyler Foggatt, Susan B. Glasser, Jane Mayer, and Evan Osnos"
1595408601,The PoliticsGirl Podcast,"Meidas Media Network, Leigh McGowan",25.37,Leigh McGowan
1617887885,The President's Daily Brief,The First TV,25.06,Mike Baker
1172546141,The President’s Inbox,Council on Foreign Relations,25.44,James M. Lindsay
1485021241,The Reason Interview With Nick Gillespie,The Reason Interview With Nick Gillespie,25.78,Nick Gillespie
1155629323,The Reason Roundtable,The Reason Roundtable,25.03,"Nick Gillespie, Katherine Mangu-Ward, Peter Suderman, and Matt Welch"
1291144720,The Remnant with Jonah Goldberg,The Dispatch,25.38,Jonah Goldberg
1743030473,The Rest Is Politics: US,Goalhanger,25.57,Kathy Kay and Anthony Scaramucci
969924303,The Skepticrat,"Puzzle in a Thunderstorm, LLC",25.52,"Noah Lugeons, Heath Enwright, and Eli Bosnick"
1573813504,The Smerconish Podcast,SiriusXM,25.66,Micael Smerconish
1696974077,The Source with Kaitlan Collins,CNN Podcasts,25.76,Kaitlan Collins
716825890,The Tom Woods Show,Tom Woods,25.51,Tom Woods
1714879044,The Tony Kinnett Cast,The Daily Signal,25.6,Tony Kinnett
1351411911,The TPM Show with Josh and Kate,Talking Points Memo,25.12,Josh Marshall and Kate Riga
1570380458,The Victor Davis Hanson Show,Victor Davis Hanson and Jack Fowler,25.68,Victor Davis Hanson
1681586867,The Warning with Steve Schmidt,iHeartPodcasts,25.12,Steve Schmidt
1612691018,THE WEEKEND SHOW,Evergreen Podcasts,25.87,"Jonathan Capehart, Eugene Daniels, and Jacqueline Alemany"
1674095262,The Wright Report,Bryan Dean Wright,25.16,Bryan Dean Wright
597919007,The Young Turks,TYT Network,25.09,Cenk Uygur and Ana Kasparian
91959525,This Week with George Stephanopoulos,ABC News,25.34,George Stephanopoulos
1362265400,Timcast News,Timcast Media,25.85,Timothy Daniel Pool
1485186805,Timothy Gordon Rules for Retrogrades Podcast,Timothy Gordon,26.48,Timothy Gord
1474001390,TRUE ANON TRUTH FEED,TrueAnon,25.82,"Hosted by Brace Belden, Liz Francis, and Steven Goldberg"
1715894000,Trump's Terms,NPR,25.01,Scott Detrow
1378389941,Uncommon Knowledge,Hoover Institution,26.03,Peter Robinson
1535255041,Unf*cking The Republic,UNFTR Media,25.6,Manny Faces
1709994511,UNGOVERNED,Shawn Farash,25.51,Shawn Farash
1317481380,UnJustified,MSW Media,25.61,Allison Gill
1476110521,Useful Idiots with Katie Halper and Aaron Maté,"Useful Idiots, LLC",25.06,Katie Halper and Aaron Maté
1495601614,Verdict with Ted Cruz,Premiere Networks,25.35,Ted Cruz
1548554104,Volts,David Roberts,25.43,David Roberts
682478916,War on the Rocks,Ryan Evans,25.16,Ryan Evans
387042247,Washington Today,C-SPAN,25.55,
702998658,Week In Review,KUOW News and Information,25.56,Bill Radke
1614844654,Week In Review,FITSNews,25.79,Will Folks
1647025876,Wendy Bell Radio Podcast,Wendy Bell,25.32,Wendy Bell
1695205478,What Really Matters with Walter Russell Mead,Tablet Magazine,25.34,Walter Russell Mead
1467993804,What the Hell Is Going On,AEI Podcasts,25.25,Danielle Pletka and Marc Thiessen
1869456664,What's The Plan? with Leah Greenberg and Ezra Levin,Indivisible,25.76,Leah Greenberg and Ezra Levin
1507444393,X22 Report,X22 Report,25.7,
