review_id,show_id,rating,n_cats,connection,companionship,direct_address,emotion,loyalty,praise_person,praise_content,agreement,anti_media,hostility,disagreement
8299935986,1471411980,5,1,0,0,0,0,0,0,1,0,0,0,0
11174297845,1314170606,5,3,0,0,0,0,1,1,1,0,0,0,0
11173574648,1669610956,5,1,0,0,0,0,0,0,1,0,0,0,0
10335624376,929121341,1,1,0,0,0,0,0,0,1,0,0,0,0
13390057936,1647025876,5,4,0,0,1,1,0,1,1,0,0,0,0
14519978813,1640311112,1,2,0,0,1,1,0,0,0,0,0,0,0
12603582063,1795032531,5,7,1,0,1,1,0,1,1,1,1,0,0
13916551269,1494037881,5,1,0,0,0,0,0,1,0,0,0,0,0
12360176864,1671451793,3,1,0,0,0,0,0,0,0,1,0,0,0
13181622086,1147092464,3,3,0,0,1,0,1,0,0,0,0,1,0
10407495619,1432118523,5,4,0,0,1,1,0,0,1,1,0,0,0
11994553425,983782306,5,1,0,0,0,0,0,0,1,0,0,0,0
5739583491,1452065072,5,2,0,0,1,0,0,0,1,0,0,0,0
10995915455,1725387804,5,4,0,0,0,1,1,1,1,0,0,0,0
10138299516,1309354521,3,3,0,0,1,1,0,0,0,0,0,1,0
12696923529,1378389941,5,3,0,0,1,1,0,0,1,0,0,0,0
3347478521,124960485,5,2,0,0,0,1,0,0,1,0,0,0,0
10957798185,1645614328,2,1,0,0,0,0,0,0,0,0,0,1,0
11930947148,1725387804,5,2,0,0,1,0,0,1,0,0,0,0,0
12306800864,1057255460,2,3,0,0,0,0,1,0,0,0,0,1,1
13502316303,1674095262,5,2,0,0,0,0,0,0,1,0,1,0,0
1941010843,1072469956,5,1,0,0,0,0,0,0,1,0,0,0,0
5550164515,1439837349,5,3,0,0,0,0,0,1,1,1,0,0,0
11448458288,1535384390,5,2,0,0,0,0,0,0,1,0,0,1,0
6450118298,1484862164,5,2,0,0,0,0,0,1,1,0,0,0,0
14364262067,1750591415,5,2,0,0,1,0,0,0,0,1,0,0,0
6757234915,1452065072,5,1,0,0,0,0,0,0,1,0,0,0,0
2607495099,91959525,5,1,0,0,0,0,0,0,1,0,0,0,0
